TIF,POI_0,POI_1,POI_2,POI_3,POI_4,POI_5,POI_6,POI_7,POI_8,POI_9,POI_10,POI_11,POI_12,POI_13
1109,0.0,0.0710418667196016,0.1420837334392032,0.0710418667196016,0.0,0.0710418667196016,0.2131256001588048,0.0,0.1420837334392032,0.0,0.0710418667196016,0.35520933359800805,0.1420837334392032,0.0,18.0
3177,0.0,0.0,0.1742446360074439,0.08712231800372194,0.0,0.0,0.0,0.08712231800372194,0.1742446360074439,0.04356115900186097,0.13068347700558292,0.1742446360074439,0.6969785440297755,0.0,36.0
3672,0.0,0.0,0.1995703461751424,0.23027347635593354,0.046054695271186705,0.18421878108474682,0.21492191126553797,0.015351565090395569,0.09210939054237341,0.12281252072316455,0.18421878108474682,0.5526563432542404,0.1535156509039557,0.1535156509039557,140.0
1819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4046,0.0,0.0,0.11928031367991561,0.11928031367991561,0.0,0.11928031367991561,0.23856062735983122,0.0,0.0,0.11928031367991561,0.11928031367991561,0.11928031367991561,0.0,0.0,8.0
1170,0.11487077986897413,0.0,0.4977733794322213,0.07658051991264941,0.28717694967243534,0.05743538993448707,0.0,0.019145129978162354,0.0,0.0,0.019145129978162354,0.536063639388546,0.42119285951957186,0.0,106.0
2585,0.0,0.03519633055572081,0.39419890222407306,0.218217249445469,0.07743192722258577,0.03519633055572081,0.15486385444517153,0.04927486277800913,0.1619031205563157,0.05631412888915329,0.07039266111144162,0.5772198211138212,0.2886099105569106,0.44347376500208213,364.0
1924,0.0,0.047453560621183985,0.18981424248473594,0.4745356062118399,0.0,0.047453560621183985,0.18981424248473594,0.0,0.2847213637271039,0.047453560621183985,0.0,0.09490712124236797,0.09490712124236797,0.047453560621183985,32.0
4196,0.20068666377598746,0.0,0.20068666377598746,0.0,0.20068666377598746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1390,0.0,0.0,0.27526226233826684,0.22020980987061345,0.0,0.0,0.11010490493530672,0.05505245246765336,0.3303147148059202,0.0,0.11010490493530672,0.11010490493530672,0.05505245246765336,0.1651573574029601,26.0
1026,0.0,0.0,0.4278131669375108,0.27224474259659776,0.0,0.0,0.11667631825568475,0.0,0.4278131669375108,0.0,0.0777842121704565,0.03889210608522825,0.2333526365113695,0.03889210608522825,42.0
