File,Coordinates,Area,Value_1_Ratio,Value_2_Ratio,Value_3_Ratio,Value_4_Ratio,Value_5_Ratio,Value_6_Ratio,Value_7_Ratio,Value_8_Ratio,Value_9_Ratio,Value_10_Ratio
BJ_15_10,"(15, 10)",1375,0.8115,0.0267,0.0755,0.0863
BJ_2_64,"(2, 64)",246,0.154,0.102,0.1827,0.4441,0.009,0.1058,0.0024
BJ_12_19,"(12, 19)",1111,0.057,0.0039,0.1016,0.8374,0.0001
BJ_40_39,"(40, 39)",3679,0.0595,0.0388,0.1394,0.7221,0.0402
BJ_5_79,"(5, 79)",534,0.1305,0.0002,0.1228,0.198,0.5228,0.0229,0.0028
BJ_2_70,"(2, 70)",252,0.3226,0.0535,0.6237,0.0002
BJ_2_58,"(2, 58)",240,0.2639,0.0106,0.0461,0.6108,0.0136,0.055
BJ_41_7,"(41, 7)",3738,0.4784,0.0822,0.1853,0.2478,0.006,0.0003
BJ_5_51,"(5, 51)",506,0.2645,0.0205,0.2028,0.4838,0.0014,0.027
BJ_12_25,"(12, 25)",1117,0.0964,0.0011,0.0726,0.8191,0.0108
BJ_5_45,"(5, 45)",500,0.1977,0.0002,0.0038,0.7958,0.0025
BJ_12_31,"(12, 31)",1123,0.0586,0.002,0.0116,0.8778,0.05
BJ_40_11,"(40, 11)",3651,0.5868,0.0132,0.2465,0.1504,0.002,0.0011
BJ_22_4,"(22, 4)",2006,0.3864,0.0379,0.0973,0.4775,0.0004,0.0005
BJ_20_83,"(20, 83)",1903,0.1293,0.0018,0.0754,0.1524,0.59,0.0061,0.045
BJ_15_38,"(15, 38)",1403,0.0932,0.0001,0.9067
BJ_20_68,"(20, 68)",1888,0.2515,0.0001,0.0647,0.0509,0.617,0.0158
BJ_27_61,"(27, 61)",2518,0.2206,0.0176,0.0792,0.5676,0.115
BJ_33_14,"(33, 14)",3017,0.7997,0.0521,0.1123,0.0359
BJ_27_75,"(27, 75)",2532,0.4221,0.1176,0.4256,0.0133,0.0004,0.0191,0.0019
BJ_29_58,"(29, 58)",2697,0.1673,0.0003,0.043,0.2926,0.4843,0.0069,0.0056
BJ_20_54,"(20, 54)",1874,0.2094,0.0044,0.0003,0.7577,0.0023,0.0259
BJ_34_21,"(34, 21)",3115,0.4255,0.0466,0.0594,0.4513,0.0038,0.0134
BJ_19_2,"(19, 2)",1731,0.8073,0.1821,0.0048,0.0057,0.0001
BJ_33_28,"(33, 28)",3031,0.2281,0.0002,0.7717
BJ_29_70,"(29, 70)",2709,0.1427,0.0247,0.2696,0.5601,0.0008,0.0021
BJ_27_49,"(27, 49)",2506,0.5246,0.0017,0.1474,0.3252,0.0011
BJ_29_64,"(29, 64)",2703,0.0851,0.0618,0.3136,0.5059,0.0252,0.0084
BJ_5_86,"(5, 86)",541,0.1025,0.0004,0.0509,0.6527,0.1895,0.004
BJ_34_35,"(34, 35)",3129,0.1336,0.0019,0.8645
BJ_20_40,"(20, 40)",1860,0.0891,0.9109
BJ_18_50,"(18, 50)",1688,0.1848,0.784,0.0024,0.0288
BJ_43_54,"(43, 54)",3967,0.6811,0.0094,0.0839,0.0928,0.0031,0.1297
BJ_11_74,"(11, 74)",1075,0.1643,0.0001,0.1766,0.2007,0.4289,0.0286,0.0008
BJ_8_39,"(8, 39)",767,0.302,0.0001,0.0713,0.3948,0.2153,0.0165
BJ_11_60,"(11, 60)",1061,0.1945,0.0226,0.0714,0.709,0.0025
BJ_6_14,"(6, 14)",560,0.1107,0.0281,0.0075,0.8436,0.0101
BJ_43_40,"(43, 40)",3953,0.1409,0.0001,0.0227,0.131,0.6885,0.0063,0.0105
BJ_44_49,"(44, 49)",4053,0.3074,0.0082,0.0169,0.6587,0.0004,0.0084
BJ_18_44,"(18, 44)",1682,0.2766,0.7232,0.0002
BJ_16_69,"(16, 69)",1525,0.2133,0.0006,0.2262,0.2504,0.3073,0.0022
BJ_44_61,"(44, 61)",4065,0.3665,0.0001,0.0296,0.089,0.4271,0.0877
BJ_1_35,"(1, 35)",126,0.167,0.0041,0.0894,0.7324,0.0071
BJ_16_41,"(16, 41)",1497,0.1535,0.0007,0.8458
BJ_11_48,"(11, 48)",1049,0.0958,0.0016,0.014,0.8886
BJ_8_11,"(8, 11)",739,0.6053,0.0056,0.1059,0.2828,0.0004
BJ_43_5,"(43, 5)",3918,0.6421,0.3559,0.0002,0.0018
BJ_30_86,"(30, 86)",2816,0.0633,0.0146,0.4827,0.4394
BJ_43_68,"(43, 68)",3981,0.1033,0.0189,0.2358,0.6183,0.0237
BJ_6_28,"(6, 28)",574,0.2534,0.1054,0.167,0.4729,0.0013
BJ_20_6,"(20, 6)",1826,0.9707,0.0171,0.0122
BJ_18_78,"(18, 78)",1716,0.2123,0.0141,0.0345,0.4761,0.0114,0.2516
BJ_1_21,"(1, 21)",112,0.2316,0.0124,0.0738,0.6807,0.0015
BJ_16_55,"(16, 55)",1511,0.2378,0.0279,0.0492,0.6825,0.0026
BJ_44_75,"(44, 75)",4079,0.2969,0.0016,0.0164,0.6613,0.0238
BJ_6_9,"(6, 9)",555,0.3188,0.0619,0.1365,0.4742,0.0086
BJ_37_70,"(37, 70)",3437,0.0788,0.0469,0.3491,0.491,0.0342
BJ_30_79,"(30, 79)",2809,0.059,0.0506,0.3671,0.51,0.0075,0.0058
BJ_43_83,"(43, 83)",3996,0.6144,0.0134,0.0588,0.1306,0.1047,0.0781
BJ_24_18,"(24, 18)",2202,0.5231,0.0019,0.4744,0.0006
BJ_39_49,"(39, 49)",3598,0.0634,0.0001,0.048,0.3448,0.5233,0.0204
BJ_37_64,"(37, 64)",3431,0.0086,0.0189,0.0508,0.921,0.0007
BJ_18_87,"(18, 87)",1725,0.5203,0.0505,0.2592,0.0545,0.0111,0.102,0.0024
BJ_23_11,"(23, 11)",2104,0.2025,0.0076,0.0421,0.7382,0.009,0.0006
BJ_16_82,"(16, 82)",1538,0.3491,0.1025,0.2486,0.0607,0.0276,0.2115
BJ_39_61,"(39, 61)",3610,0.0113,0.0584,0.6765,0.2457,0.0081
BJ_23_39,"(23, 39)",2132,0.2277,0.7723
BJ_8_6,"(8, 6)",734,0.4267,0.055,0.5056,0.0126,0.0001
BJ_24_30,"(24, 30)",2214,0.2642,0.0343,0.6978,0.0004,0.0033
BJ_30_45,"(30, 45)",2775,0.2424,0.0079,0.0029,0.7465,0.0002,0.0001
BJ_30_51,"(30, 51)",2781,0.2512,0.0025,0.7459,0.0004
BJ_24_24,"(24, 24)",2208,0.407,0.0329,0.0637,0.4964
BJ_39_75,"(39, 75)",3624,0.1797,0.0142,0.056,0.7484,0.0017
BJ_37_58,"(37, 58)",3425,0.4893,0.1491,0.3266,0.035
BJ_41_51,"(41, 51)",3782,0.2493,0.0001,0.078,0.4968,0.1746,0.0012
BJ_13_71,"(13, 71)",1254,0.2052,0.0024,0.0874,0.3348,0.3477,0.0225
BJ_14_78,"(14, 78)",1352,0.1178,0.0003,0.0194,0.0641,0.7933,0.0051
BJ_46_58,"(46, 58)",4244,0.1655,0.0002,0.02,0.4044,0.4016,0.0074,0.0009
BJ_3_18,"(3, 18)",291,0.4125,0.0291,0.1565,0.4018,0.0001
BJ_13_65,"(13, 65)",1248,0.1965,0.0001,0.0691,0.2267,0.5016,0.006
BJ_4_11,"(4, 11)",375,0.2571,0.0996,0.1342,0.4867,0.0224
BJ_41_45,"(41, 45)",3776,0.1767,0.0439,0.1714,0.6031,0.0049
BJ_32_83,"(32, 83)",2995,0.0468,0.0001,0.024,0.7745,0.1546
BJ_4_39,"(4, 39)",403,0.1108,0.0219,0.2572,0.6026,0.0075
