TIF,POI_0,POI_1,POI_2,POI_3,POI_4,POI_5,POI_6,POI_7,POI_8,POI_9,POI_10,POI_11,POI_12,POI_13
3147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7757,0.0,0.20068666377598746,0.0,0.20068666377598746,0.0,0.0,0.0,0.0,0.0,0.0,0.20068666377598746,0.0,0.0,0.0,3.0
7186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6204,0.18042039559242962,0.15786784614337593,0.3382882417358056,0.022552549449053702,0.4961560878791815,0.0,0.0,0.0,0.15786784614337593,0.4961560878791815,0.0,0.0,0.045105098898107404,0.045105098898107404,86.0
7908,0.0,0.0,0.23856062735983122,0.0,0.0,0.23856062735983122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7223,0.13191185689370305,0.03297796422342576,0.39573557068110915,0.0,1.2861406047136048,0.01648898211171288,0.0,0.0,0.1813788032288417,0.0,0.0,0.03297796422342576,0.0,0.03297796422342576,128.0
3798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7854,0.0,0.09810738600432954,0.09810738600432954,0.0,0.7848590880346363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09810738600432954,11.0
1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5008,0.6198016227566583,0.052272426015621785,0.5451267284486272,0.08214238373883423,0.7915538796651299,0.029869957723212447,0.014934978861606224,0.007467489430803112,0.28376459837051826,0.014934978861606224,0.007467489430803112,0.022402468292409335,0.052272426015621785,0.007467489430803112,339.0
701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6954,0.8307835460773318,0.10429750145559574,0.5916185858429484,0.12048159650905027,0.2715331503412924,0.05934168186266655,0.008991163918585841,0.0035964655674343366,0.4046023763363628,0.17622681280428248,0.030569957323191857,0.2157879340460602,0.0791222424835554,0.3614447895271508,1812.0
6861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3209,0.5489478297000325,0.19213174039501138,0.6038426126700358,0.1097895659400065,0.05489478297000325,0.027447391485001624,0.041171087227502436,0.041171087227502436,0.28819761059251703,0.041171087227502436,0.027447391485001624,0.027447391485001624,0.12351326168250731,0.08234217445500487,161.0
4600,0.0,0.0,0.0,0.0,0.6225210003069149,0.15563025007672873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
6062,0.08815041095893052,0.4701355251142961,0.32321817351607857,0.17630082191786103,0.058766940639287016,0.0,0.029383470319643508,0.0,0.17630082191786103,0.26445123287679156,0.11753388127857403,0.029383470319643508,0.0,0.058766940639287016,61.0
7189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7198,0.7814605339156177,0.2841674668784064,0.0710418667196016,0.0710418667196016,0.0,0.0,0.0,0.0,0.0,0.0,0.0710418667196016,0.0,0.0,0.0,18.0
4420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6188,0.6503842608731831,0.1664542769353401,1.123290782762328,0.13779327560872523,0.5544801410495104,0.0606290412678391,0.06503842608731832,0.003307038614609406,0.36708128622164404,0.019842231687656437,0.052912617833750494,0.13007685217463663,0.06393607988244851,0.1069275818723708,3177.0
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4507,0.11837395234722897,0.2705690339365234,0.37203242166271966,0.050731693863098136,0.7102437140833738,0.0,0.01691056462103271,0.01691056462103271,0.1352845169682617,0.06764225848413084,0.050731693863098136,0.08455282310516356,0.01691056462103271,0.18601621083135983,124.0
6931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4941,0.0,0.5242275032520142,0.0,0.0,0.17474250108400471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
