TIF,POI_0,POI_1,POI_2,POI_3,POI_4,POI_5,POI_6,POI_7,POI_8,POI_9,POI_10,POI_11,POI_12,POI_13
12754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
