Area/1109 Carbon/470.50762939453125
Area/3177 Carbon/126.87114715576172
Area/3672 Carbon/1160.060791015625
Area/1819 Carbon/128.43727111816406
Area/4046 Carbon/594.002197265625
Area/1170 Carbon/452.006103515625
Area/2585 Carbon/2654.69921875
Area/1924 Carbon/896.304443359375
Area/4196 Carbon/268.2616882324219
Area/1390 Carbon/1508.5582275390625
Area/1026 Carbon/1282.3240966796875
Area/4201 Carbon/193.59890747070312
Area/1154 Carbon/706.895263671875
Area/2982 Carbon/495.7342834472656
Area/61 Carbon/541.9608154296875
Area/4134 Carbon/482.13385009765625
Area/2052 Carbon/4208.8662109375
Area/3667 Carbon/975.4107055664062
Area/413 Carbon/612.2156982421875
Area/2493 Carbon/2769.13427734375
Area/4105 Carbon/267.7236022949219
Area/1082 Carbon/275.0987854003906
Area/1311 Carbon/2046.864501953125
Area/1836 Carbon/1175.1844482421875
Area/3484 Carbon/850.576416015625
Area/1 Carbon/220.1455841064453
Area/3720 Carbon/484.5096435546875
Area/2723 Carbon/189.30401611328125
Area/3721 Carbon/392.8840026855469
Area/3060 Carbon/992.497314453125
Area/3590 Carbon/864.7738037109375
Area/3536 Carbon/260.73736572265625
Area/1900 Carbon/809.4694213867188
Area/33 Carbon/1056.4332275390625
Area/4034 Carbon/649.48388671875
Area/2967 Carbon/1216.8543701171875
Area/2952 Carbon/2173.98095703125
Area/1644 Carbon/372.7093811035156
Area/2198 Carbon/740.1546630859375
Area/1839 Carbon/1892.3499755859375
Area/2149 Carbon/2136.4013671875
Area/1173 Carbon/414.1806335449219
Area/918 Carbon/178.32037353515625
Area/3051 Carbon/1682.41943359375
Area/1166 Carbon/423.75555419921875
Area/2533 Carbon/490.60333251953125
Area/3032 Carbon/1284.9144287109375
Area/3083 Carbon/166.79978942871094
Area/3559 Carbon/301.41546630859375
Area/195 Carbon/703.4598388671875
Area/186 Carbon/162.4059295654297
Area/15 Carbon/695.5650634765625
Area/2178 Carbon/510.3279724121094
Area/2029 Carbon/2324.647705078125
Area/1284 Carbon/234.48211669921875
Area/2879 Carbon/838.61474609375
Area/2435 Carbon/497.78179931640625
Area/1327 Carbon/1707.2080078125
Area/4073 Carbon/1327.704833984375
Area/3462 Carbon/72.32401275634766
Area/1608 Carbon/980.4186401367188
Area/1150 Carbon/906.9888305664062
