Area/1109 GDP/34959.9921875
Area/3177 GDP/3502.235595703125
Area/3672 GDP/15241.0986328125
Area/1819 GDP/4070.822509765625
Area/4046 GDP/9230.681640625
Area/1170 GDP/8998.150390625
Area/2585 GDP/10000.0
Area/1924 GDP/25256.07421875
Area/4196 GDP/12472.375
Area/1390 GDP/36111.55078125
Area/1026 GDP/36111.55078125
Area/4201 GDP/5620.72021484375
Area/1154 GDP/10073.53515625
Area/2982 GDP/6859.09423828125
Area/61 GDP/7779.84716796875
Area/4134 GDP/136.93556213378906
Area/2052 GDP/10000.0
Area/3667 GDP/10111.3037109375
Area/413 GDP/7048.455078125
Area/2493 GDP/10000.0
Area/4105 GDP/8976.3720703125
Area/1082 GDP/4171.06494140625
Area/1311 GDP/10000.0
Area/1836 GDP/10000.0
Area/3484 GDP/10068.5791015625
Area/1 GDP/12920.94921875
Area/3720 GDP/8662.6484375
Area/2723 GDP/1702.873779296875
Area/3721 GDP/8662.6484375
Area/3060 GDP/45187.65234375
Area/3590 GDP/7193.3984375
Area/3536 GDP/605.9247436523438
Area/1900 GDP/4822.43603515625
Area/33 GDP/9652.640625
Area/4034 GDP/12641.3544921875
Area/2967 GDP/10078.0029296875
Area/2952 GDP/10000.0
Area/1644 GDP/17423.970703125
Area/2198 GDP/147.449951171875
Area/1839 GDP/10000.0
Area/2149 GDP/10000.0
Area/1173 GDP/8780.076171875
Area/918 GDP/2045.26953125
Area/3051 GDP/10000.0
Area/1166 GDP/6098.2607421875
Area/2533 GDP/2324.618408203125
Area/3032 GDP/10000.0
Area/3083 GDP/6339.4580078125
Area/3559 GDP/10112.099609375
Area/195 GDP/24126.056640625
Area/186 GDP/8631.3154296875
Area/15 GDP/14843.900390625
Area/2178 GDP/6436.5166015625
Area/2029 GDP/10000.0
Area/1284 GDP/421.1779479980469
Area/2879 GDP/36683.56640625
Area/2435 GDP/18362.46484375
Area/1327 GDP/10000.0
Area/4073 GDP/18700.953125
Area/3462 GDP/4.1700005531311035
Area/1608 GDP/43393.58203125
Area/1150 GDP/10000.0
Area/3783 GDP/3864.851318359375
Area/2574 GDP/10000.0
Area/3169 GDP/14755.5703125
