Area/1109 Light/18.91499900817871
Area/3177 Light/4.454999923706055
Area/3672 Light/39.76750183105469
Area/1819 Light/4.002500057220459
Area/4046 Light/8.90250015258789
Area/1170 Light/26.895000457763672
Area/2585 Light/39.91999816894531
Area/1924 Light/13.170000076293945
Area/4196 Light/2.494999885559082
Area/1390 Light/32.82749938964844
Area/1026 Light/25.899999618530273
Area/4201 Light/5.060000419616699
Area/1154 Light/28.162498474121094
Area/2982 Light/12.507499694824219
Area/61 Light/38.11000061035156
Area/4134 Light/3.257500171661377
Area/2052 Light/59.98750305175781
Area/3667 Light/27.729999542236328
Area/413 Light/26.582500457763672
Area/2493 Light/35.724998474121094
Area/4105 Light/6.515000343322754
Area/1082 Light/10.59749984741211
Area/1311 Light/43.067501068115234
Area/1836 Light/38.60749816894531
Area/3484 Light/36.25499725341797
Area/1 Light/7.684999942779541
Area/3720 Light/10.864999771118164
Area/2723 Light/5.382499694824219
Area/3721 Light/8.557499885559082
Area/3060 Light/28.332500457763672
Area/3590 Light/24.920000076293945
Area/3536 Light/8.132499694824219
Area/1900 Light/34.35749816894531
Area/33 Light/28.442501068115234
Area/4034 Light/7.492500305175781
Area/2967 Light/19.244998931884766
Area/2952 Light/29.815000534057617
Area/1644 Light/13.640000343322754
Area/2198 Light/4.482500076293945
Area/1839 Light/42.32500076293945
Area/2149 Light/35.35749816894531
Area/1173 Light/12.517499923706055
Area/918 Light/7.994999885559082
Area/3051 Light/36.45500183105469
Area/1166 Light/20.990001678466797
Area/2533 Light/16.60249900817871
Area/3032 Light/30.240001678466797
Area/3083 Light/5.257500171661377
Area/3559 Light/10.927499771118164
Area/195 Light/5.725000381469727
Area/186 Light/8.7475004196167
Area/15 Light/24.724998474121094
Area/2178 Light/12.844999313354492
Area/2029 Light/19.03499984741211
Area/1284 Light/3.757499933242798
Area/2879 Light/32.31500244140625
Area/2435 Light/10.950000762939453
Area/1327 Light/37.912498474121094
Area/4073 Light/24.375
Area/3462 Light/0.8875000476837158
Area/1608 Light/41.224998474121094
Area/1150 Light/20.827499389648438
Area/3783 Light/8.065000534057617
Area/2574 Light/12.4375
Area/3169 Light/18.44999885559082
Area/78 Light/7.25
Area/266 Light/3.1575002670288086
Area/3696 Light/14.282500267028809
Area/1480 Light/27.1825008392334
Area/3732 Light/0.6499999761581421
Area/455 Light/1.3450000286102295
Area/1448 Light/17.520000457763672
Area/3268 Light/4.0
Area/2304 Light/30.42500114440918
Area/1372 Light/27.014999389648438
Area/322 Light/14.235000610351562
Area/3831 Light/7.744999885559082
Area/8 Light/6.137499809265137
Area/2539 Light/5.304999828338623
Area/2402 Light/27.982500076293945
Area/1581 Light/57.287498474121094
Area/380 Light/16.69499969482422
Area/4140 Light/9.969999313354492
Area/1976 Light/22.667499542236328
Area/301 Light/21.47249984741211
Area/1564 Light/18.432498931884766
Area/431 Light/20.477500915527344
Area/549 Light/2.8575000762939453
Area/1405 Light/38.375
Area/155 Light/24.869998931884766
Area/2171 Light/18.412500381469727
Area/1523 Light/28.702499389648438
Area/2726 Light/8.244999885559082
Area/1595 Light/59.54999923706055
Area/1467 Light/19.059999465942383
Area/3432 Light/40.76749801635742
Area/3771 Light/15.082500457763672
Area/1923 Light/16.165000915527344
Area/1225 Light/37.23749923706055
Area/16 Light/17.032499313354492
Area/3001 Light/4.5
Area/2236 Light/57.837501525878906
Area/336 Light/33.67499923706055
Area/318 Light/9.725000381469727
Area/4010 Light/1.0325000286102295
Area/2917 Light/0.9200000166893005
Area/505 Light/27.779998779296875
Area/2090 Light/15.180000305175781
Area/3868 Light/20.077499389648438
Area/579 Light/20.182498931884766
Area/2124 Light/26.975000381469727
Area/673 Light/120.60250091552734
Area/3140 Light/29.842500686645508
Area/2504 Light/40.12000274658203
Area/2375 Light/4.860000133514404
Area/3807 Light/27.392498016357422
Area/4110 Light/6.072500228881836
Area/662 Light/6.047500133514404
Area/391 Light/9.237499237060547
Area/3897 Light/28.94499969482422
Area/2711 Light/5.595000267028809
Area/383 Light/9.135000228881836
Area/1975 Light/22.572500228881836
Area/3408 Light/14.78499984741211
Area/847 Light/25.110000610351562
Area/2477 Light/10.6274995803833
Area/2737 Light/2.505000114440918
Area/932 Light/25.592498779296875
Area/2020 Light/27.255001068115234
Area/1499 Light/31.837501525878906
Area/2179 Light/12.392499923706055
Area/4128 Light/3.2975001335144043
Area/2283 Light/20.55500030517578
Area/1001 Light/3.2149999141693115
Area/786 Light/25.225000381469727
Area/3108 Light/4.550000190734863
Area/2928 Light/2.6500000953674316
Area/1458 Light/2.3000001907348633
Area/2687 Light/36.07749938964844
Area/4199 Light/7.874999523162842
Area/3090 Light/2.9600000381469727
Area/2255 Light/12.630000114440918
Area/3757 Light/26.00749969482422
Area/664 Light/26.827499389648438
Area/3958 Light/15.210000038146973
Area/129 Light/17.75
Area/2870 Light/27.274999618530273
Area/1901 Light/16.407499313354492
Area/3512 Light/8.03499984741211
Area/1700 Light/32.87249755859375
Area/253 Light/5.307499885559082
Area/286 Light/11.202499389648438
Area/347 Light/3.497499942779541
Area/936 Light/31.4424991607666
Area/1431 Light/12.327500343322754
Area/1559 Light/26.27750015258789
Area/4268 Light/9.65999984741211
Area/397 Light/24.167499542236328
Area/1782 Light/55.77499771118164
Area/3189 Light/0.8500000238418579
Area/2894 Light/14.694999694824219
Area/1423 Light/26.88249969482422
Area/2797 Light/24.02750015258789
Area/2428 Light/13.800000190734863
Area/159 Light/12.204999923706055
Area/668 Light/29.264999389648438
Area/4099 Light/0.8250000476837158
Area/1600 Light/45.209999084472656
Area/3856 Light/9.934999465942383
Area/1551 Light/2.067500114440918
Area/2187 Light/1.6475000381469727
Area/1552 Light/3.192500114440918
Area/227 Light/9.700000762939453
Area/770 Light/15.932500839233398
Area/3978 Light/31.064998626708984
Area/2050 Light/51.029998779296875
Area/39 Light/25.462499618530273
Area/2213 Light/48.90250015258789
Area/531 Light/8.537500381469727
Area/2609 Light/9.732500076293945
Area/2483 Light/14.704999923706055
Area/3099 Light/0.925000011920929
Area/1666 Light/42.38249969482422
Area/3827 Light/0.987500011920929
Area/3126 Light/33.41999816894531
Area/1769 Light/47.029998779296875
Area/1394 Light/38.93000030517578
Area/95 Light/3.5374999046325684
Area/491 Light/39.09749984741211
Area/3209 Light/15.260000228881836
Area/249 Light/8.635000228881836
Area/20 Light/26.010000228881836
Area/3330 Light/10.512499809265137
Area/2661 Light/26.770000457763672
Area/1090 Light/5.054999828338623
Area/924 Light/6.482500076293945
Area/3832 Light/8.585000038146973
Area/1055 Light/25.70250129699707
Area/1565 Light/27.142499923706055
Area/1799 Light/27.729999542236328
Area/208 Light/21.690000534057617
Area/830 Light/5.652500152587891
Area/1296 Light/31.810001373291016
Area/2411 Light/34.79499816894531
Area/1312 Light/37.347503662109375
Area/3775 Light/15.100000381469727
Area/1882 Light/29.952499389648438
Area/1239 Light/36.32250213623047
Area/4172 Light/21.165000915527344
Area/3243 Light/18.905000686645508
Area/2696 Light/21.982500076293945
Area/252 Light/3.8400001525878906
Area/2366 Light/1.9200000762939453
Area/3503 Light/25.03499984741211
Area/4111 Light/10.672499656677246
Area/2038 Light/42.939998626708984
Area/437 Light/5.579999923706055
Area/3608 Light/21.385000228881836
Area/3489 Light/44.3224983215332
Area/3180 Light/3.247499942779541
Area/1243 Light/31.732500076293945
Area/3998 Light/4.409999847412109
Area/2158 Light/20.41499900817871
Area/4275 Light/5.577500343322754
Area/711 Light/7.862500190734863
Area/3111 Light/19.4375
Area/1218 Light/46.977500915527344
Area/2999 Light/2.9099998474121094
Area/402 Light/16.31999969482422
Area/2531 Light/26.64000129699707
Area/894 Light/7.857500076293945
Area/1578 Light/40.727500915527344
Area/2491 Light/35.439998626708984
Area/3594 Light/23.15999984741211
Area/4194 Light/1.3550000190734863
Area/1999 Light/9.889999389648438
Area/284 Light/8.967500686645508
Area/953 Light/33.977500915527344
Area/982 Light/14.75
Area/245 Light/23.010000228881836
Area/833 Light/8.162500381469727
Area/2292 Light/3.5199999809265137
Area/3127 Light/43.73249816894531
Area/4086 Light/7.547499656677246
Area/2147 Light/29.280000686645508
Area/4121 Light/13.232500076293945
Area/704 Light/20.0575008392334
Area/929 Light/17.74250030517578
Area/843 Light/24.34749984741211
Area/346 Light/4.100000381469727
Area/9 Light/7.559999942779541
Area/1944 Light/28.667499542236328
Area/3279 Light/0.7475000023841858
Area/2228 Light/31.630001068115234
Area/1660 Light/40.95499801635742
Area/783 Light/19.380001068115234
Area/1790 Light/33.22500228881836
Area/3168 Light/20.837499618530273
Area/2008 Light/40.13500213623047
Area/2368 Light/3.3975000381469727
Area/215 Light/25.237499237060547
Area/362 Light/11.3125
Area/1531 Light/40.55999755859375
Area/3584 Light/29.814998626708984
Area/4069 Light/18.53499984741211
Area/4127 Light/3.802500009536743
Area/2956 Light/31.0575008392334
Area/1785 Light/38.497501373291016
Area/3560 Light/8.029999732971191
Area/3830 Light/5.095000267028809
Area/2742 Light/1.5575000047683716
Area/3153 Light/28.852500915527344
Area/1079 Light/11.130000114440918
Area/1119 Light/20.61750030517578
Area/2653 Light/1.6399999856948853
Area/1724 Light/9.367500305175781
Area/2180 Light/13.805000305175781
Area/4262 Light/9.985000610351562
Area/4137 Light/5.399999618530273
Area/2546 Light/21.235000610351562
Area/1112 Light/22.485000610351562
Area/2258 Light/21.962501525878906
Area/4234 Light/6.862500190734863
Area/179 Light/6.074999809265137
Area/3210 Light/30.559999465942383
Area/760 Light/33.51750183105469
Area/2886 Light/9.519999504089355
Area/2473 Light/3.2649998664855957
Area/144 Light/15.175000190734863
Area/1174 Light/21.64750099182129
Area/1568 Light/46.185001373291016
Area/2918 Light/1.0499999523162842
Area/3344 Light/98.36499786376953
Area/848 Light/33.147499084472656
Area/3319 Light/8.75
Area/2753 Light/6.875
Area/3691 Light/7.144999980926514
Area/182 Light/2.327500104904175
Area/739 Light/10.220000267028809
Area/1241 Light/24.072500228881836
Area/4231 Light/10.69749927520752
Area/2822 Light/0.9150000214576721
Area/404 Light/21.3799991607666
Area/3894 Light/27.457500457763672
Area/2338 Light/26.227500915527344
Area/1341 Light/12.914999961853027
Area/2922 Light/1.2774999141693115
Area/1301 Light/28.802499771118164
Area/617 Light/6.069999694824219
Area/3554 Light/1.0924999713897705
Area/818 Light/3.1075000762939453
Area/1435 Light/13.522500038146973
Area/4220 Light/5.867500305175781
Area/2809 Light/9.630000114440918
Area/3343 Light/81.24250030517578
Area/3893 Light/22.087499618530273
Area/4217 Light/5.514999866485596
Area/2660 Light/6.829999923706055
Area/3482 Light/38.852500915527344
Area/3578 Light/19.290000915527344
Area/1583 Light/50.8900032043457
Area/1391 Light/28.952499389648438
Area/2115 Light/20.314998626708984
Area/1548 Light/1.7174999713897705
Area/3806 Light/32.62249755859375
Area/750 Light/5.224999904632568
Area/764 Light/61.97249984741211
Area/2676 Light/36.897499084472656
Area/651 Light/18.46500015258789
Area/4169 Light/49.12000274658203
Area/118 Light/8.055000305175781
Area/3383 Light/25.959999084472656
Area/1094 Light/2.245000123977661
Area/700 Light/21.165000915527344
Area/3755 Light/5.784999847412109
Area/1138 Light/39.10499954223633
Area/2616 Light/12.557499885559082
Area/839 Light/14.477499961853027
Area/1931 Light/35.78499984741211
Area/3295 Light/7.035000324249268
Area/788 Light/26.580001831054688
Area/479 Light/3.9675002098083496
Area/680 Light/21.06999969482422
Area/981 Light/13.682498931884766
Area/3226 Light/7.9524993896484375
Area/745 Light/7.317500114440918
Area/725 Light/5.305000305175781
Area/2501 Light/35.46500015258789
Area/1584 Light/48.44499969482422
Area/2681 Light/58.46000289916992
Area/1100 Light/4.637499809265137
Area/987 Light/8.09749984741211
Area/3531 Light/9.204999923706055
Area/2860 Light/36.46500015258789
Area/2464 Light/7.622499942779541
Area/329 Light/33.80999755859375
Area/1547 Light/1.6475000381469727
Area/3481 Light/29.529998779296875
Area/1930 Light/27.56999969482422
Area/2385 Light/3.697500228881836
Area/312 Light/15.082499504089355
Area/1093 Light/1.9500000476837158
Area/1950 Light/37.092498779296875
Area/3329 Light/13.625
Area/738 Light/7.817500114440918
Area/449 Light/2.3975000381469727
Area/2770 Light/34.86000061035156
Area/574 Light/19.657499313354492
Area/2862 Light/29.012500762939453
Area/1820 Light/1.2575000524520874
Area/1574 Light/33.84749984741211
Area/3675 Light/16.88249969482422
Area/3740 Light/6.117500305175781
Area/2632 Light/9.895000457763672
Area/2241 Light/24.900001525878906
Area/635 Light/4.352499961853027
Area/2591 Light/70.94999694824219
Area/4042 Light/3.424999952316284
Area/3389 Light/18.002498626708984
Area/2270 Light/6.135000228881836
Area/3309 Light/30.450000762939453
Area/2371 Light/4.257499694824219
Area/2324 Light/43.65250015258789
Area/3382 Light/29.18000030517578
Area/2006 Light/13.702500343322754
Area/2268 Light/17.974998474121094
Area/2130 Light/49.082496643066406
Area/2192 Light/22.775001525878906
Area/1567 Light/25.037498474121094
Area/1597 Light/44.980003356933594
Area/637 Light/1.9175000190734863
Area/784 Light/29.412500381469727
Area/1305 Light/39.48749923706055
Area/3199 Light/6.579999923706055
Area/2298 Light/10.069999694824219
Area/1692 Light/57.07250213623047
Area/2248 Light/17.40999984741211
Area/2388 Light/22.582500457763672
Area/3824 Light/0.6299999952316284
Area/2260 Light/18.082500457763672
Area/726 Light/8.149999618530273
Area/4017 Light/15.604999542236328
Area/3752 Light/16.127500534057617
Area/3410 Light/8.395000457763672
Area/3441 Light/14.0600004196167
Area/3790 Light/14.28749942779541
Area/1482 Light/29.9424991607666
Area/1767 Light/43.459999084472656
Area/2926 Light/1.462499976158142
Area/1449 Light/22.545000076293945
Area/3222 Light/41.412498474121094
Area/457 Light/1.787500023841858
Area/492 Light/18.397499084472656
Area/177 Light/2.5
Area/1508 Light/39.23999786376953
Area/70 Light/9.709999084472656
Area/25 Light/3.892500162124634
Area/1144 Light/36.035003662109375
Area/897 Light/5.277500152587891
Area/2974 Light/16.384998321533203
Area/2995 Light/3.7249999046325684
Area/1916 Light/12.252500534057617
Area/2685 Light/38.619998931884766
Area/1114 Light/24.177499771118164
Area/895 Light/6.335000038146973
Area/447 Light/3.2199997901916504
