Area/1109 Pop/2380.63330078125
Area/3177 Pop/323.4093322753906
Area/3672 Pop/8449.720703125
Area/1819 Pop/3630.38134765625
Area/4046 Pop/3004.533935546875
Area/1170 Pop/1467.1650390625
Area/2585 Pop/30767.814453125
Area/1924 Pop/9920.04296875
Area/4196 Pop/390.5061340332031
Area/1390 Pop/10447.6259765625
Area/1026 Pop/2968.431884765625
Area/4201 Pop/1392.5601806640625
Area/1154 Pop/1861.5858154296875
Area/2982 Pop/2788.600830078125
Area/61 Pop/1440.9755859375
Area/4134 Pop/187.34080505371094
Area/2052 Pop/15415.357421875
Area/3667 Pop/8897.87890625
Area/413 Pop/10687.333984375
Area/2493 Pop/22318.412109375
Area/4105 Pop/536.9950561523438
Area/1082 Pop/1839.704345703125
Area/1311 Pop/23783.943359375
Area/1836 Pop/14600.8291015625
Area/3484 Pop/1660.37646484375
Area/1 Pop/421.7552490234375
Area/3720 Pop/177.29312133789062
Area/2723 Pop/146.35092163085938
Area/3721 Pop/185.04974365234375
Area/3060 Pop/4105.296875
Area/3590 Pop/2867.425048828125
Area/3536 Pop/196.6517791748047
Area/1900 Pop/1174.1904296875
Area/33 Pop/6283.71630859375
Area/4034 Pop/1847.37939453125
Area/2967 Pop/3545.83984375
Area/2952 Pop/8122.85693359375
Area/1644 Pop/866.352294921875
Area/2198 Pop/864.0191040039062
Area/1839 Pop/19361.705078125
Area/2149 Pop/3894.823974609375
Area/1173 Pop/998.87646484375
Area/918 Pop/1847.837646484375
Area/3051 Pop/7541.34765625
Area/1166 Pop/1654.1492919921875
Area/2533 Pop/553.1759643554688
Area/3032 Pop/2229.038330078125
Area/3083 Pop/601.0126342773438
Area/3559 Pop/518.648193359375
Area/195 Pop/796.244384765625
Area/186 Pop/268.0937805175781
Area/15 Pop/2148.982421875
Area/2178 Pop/1134.7540283203125
Area/2029 Pop/23976.33203125
Area/1284 Pop/597.439453125
Area/2879 Pop/3450.148681640625
Area/2435 Pop/828.8474731445312
Area/1327 Pop/17861.314453125
Area/4073 Pop/2637.219482421875
Area/3462 Pop/32.710205078125
Area/1608 Pop/3080.147216796875
Area/1150 Pop/5585.22900390625
Area/3783 Pop/1439.208740234375
Area/2574 Pop/6725.83349609375
