Area/3147 GDP/126.943603515625
Area/5377 GDP/4262.95703125
Area/7757 GDP/546.8744506835938
Area/7186 GDP/52.90476608276367
Area/6204 GDP/29171.97265625
Area/7908 GDP/12.402135848999023
Area/7223 GDP/10061.2294921875
Area/3798 GDP/10000.0
Area/7854 GDP/43970.140625
Area/1494 GDP/288.86712646484375
Area/5008 GDP/5489.58984375
Area/701 GDP/358.514404296875
Area/5956 GDP/10007.6396484375
Area/6954 GDP/30753.84765625
Area/6861 GDP/25000.37890625
Area/14 GDP/223.61123657226562
Area/1011 GDP/42651.1875
Area/2958 GDP/42775.6875
Area/1171 GDP/28.67462921142578
Area/3209 GDP/83.81708526611328
Area/4600 GDP/576.5748291015625
Area/6062 GDP/7557.63232421875
Area/7189 GDP/9.528892517089844
Area/2165 GDP/0.0
Area/7198 GDP/140.66270446777344
Area/4420 GDP/9905.0966796875
Area/3021 GDP/486.68780517578125
Area/6188 GDP/10000.0
Area/184 GDP/2.7543017864227295
Area/5043 GDP/10000.0
Area/3916 GDP/34145.984375
Area/4507 GDP/10097.3583984375
Area/6931 GDP/435.950439453125
Area/3840 GDP/160.13352966308594
Area/4941 GDP/44247.015625
Area/4736 GDP/29159.19921875
Area/7779 GDP/573.5921020507812
Area/6542 GDP/10067.6904296875
Area/4612 GDP/153.79214477539062
Area/3854 GDP/10000.0
Area/7470 GDP/9.528892517089844
Area/3316 GDP/438.95233154296875
Area/3123 GDP/579.1708984375
Area/4096 GDP/580.4088745117188
Area/6444 GDP/13647.5009765625
Area/4375 GDP/10183.9599609375
Area/7073 GDP/22902.666015625
Area/5796 GDP/11623.57421875
Area/243 GDP/2.7543017864227295
Area/6944 GDP/4945.8515625
Area/1841 GDP/13081.4375
Area/1798 GDP/474.55902099609375
Area/8462 GDP/1432.3031005859375
Area/5101 GDP/12652.1181640625
Area/6191 GDP/10000.0
Area/3689 GDP/49080.8671875
Area/6960 GDP/15152.3115234375
Area/4024 GDP/561.1112060546875
Area/3683 GDP/579.2670288085938
Area/5774 GDP/20691.939453125
Area/1031 GDP/2132.19580078125
Area/3930 GDP/34142.81640625
Area/7794 GDP/44006.04296875
Area/1155 GDP/42651.1875
Area/602 GDP/15.17779541015625
Area/2335 GDP/9151.4814453125
Area/7510 GDP/10235.330078125
Area/3741 GDP/581.0718994140625
Area/7961 GDP/7495.61669921875
Area/7537 GDP/44.128089904785156
Area/5373 GDP/4647.1005859375
Area/6716 GDP/786.79052734375
Area/4853 GDP/10042.3271484375
Area/6643 GDP/134.0067901611328
Area/100 GDP/1350.44482421875
Area/8127 GDP/15983.884765625
Area/3761 GDP/5158.81884765625
Area/2334 GDP/14744.6396484375
Area/5391 GDP/10000.0
Area/6818 GDP/16420.76171875
Area/7181 GDP/9.528892517089844
Area/4864 GDP/10000.0
Area/4650 GDP/10000.0
Area/7567 GDP/9718.2978515625
Area/1120 GDP/366.44720458984375
Area/5617 GDP/10026.861328125
Area/8284 GDP/10121.57421875
Area/2529 GDP/486.68780517578125
Area/6317 GDP/10000.0
Area/3153 GDP/486.68780517578125
Area/1198 GDP/301.61151123046875
Area/1570 GDP/14709.404296875
Area/864 GDP/32082.904296875
Area/6484 GDP/23188.443359375
Area/7806 GDP/54.02174377441406
Area/1788 GDP/429.8280944824219
Area/699 GDP/0.0
Area/7695 GDP/351.6607360839844
Area/5121 GDP/10049.96875
Area/292 GDP/327.5730895996094
Area/3271 GDP/34525.36328125
Area/5664 GDP/30093.548828125
Area/1967 GDP/5840.2978515625
Area/888 GDP/4579.7978515625
Area/650 GDP/26090.802734375
Area/2575 GDP/581.4164428710938
Area/4649 GDP/10000.0
Area/6946 GDP/1309.633544921875
Area/8420 GDP/2181.87939453125
Area/3940 GDP/484.57733154296875
Area/1330 GDP/1161.109375
Area/6383 GDP/10264.9658203125
Area/2714 GDP/574.7078247070312
Area/288 GDP/347.7978515625
Area/3062 GDP/573.9266357421875
Area/2395 GDP/42651.1875
Area/1106 GDP/422.662353515625
Area/3675 GDP/7238.20361328125
Area/7493 GDP/19267.962890625
Area/2135 GDP/474.60540771484375
Area/5440 GDP/14633.744140625
Area/3754 GDP/576.3925170898438
Area/5967 GDP/10211.6982421875
Area/1441 GDP/42651.1875
Area/399 GDP/2734.85009765625
Area/654 GDP/23271.2421875
Area/3696 GDP/561.384765625
Area/2931 GDP/0.0
Area/7101 GDP/129.51089477539062
Area/7129 GDP/14296.193359375
Area/2561 GDP/514.9606323242188
Area/7562 GDP/11197.259765625
Area/3519 GDP/42916.58203125
Area/5358 GDP/10003.537109375
Area/6834 GDP/29578.62109375
Area/230 GDP/559.8616333007812
Area/2940 GDP/10435.6201171875
Area/6911 GDP/32454.19921875
Area/4072 GDP/10025.4541015625
Area/8238 GDP/26425.73828125
Area/7687 GDP/570.4031982421875
Area/8133 GDP/10144.6708984375
Area/920 GDP/343.8653564453125
Area/7632 GDP/449.7633056640625
Area/2393 GDP/39881.58203125
Area/5350 GDP/32496.984375
Area/5375 GDP/1.1859462261199951
Area/5209 GDP/10160.703125
Area/5494 GDP/10000.0
Area/4309 GDP/573.4758911132812
Area/6458 GDP/10000.0
Area/8427 GDP/33912.4375
Area/8291 GDP/12459.4140625
Area/6231 GDP/10053.5185546875
Area/5926 GDP/10006.2978515625
Area/3635 GDP/15322.1181640625
Area/7079 GDP/571.5809326171875
Area/6862 GDP/25000.37890625
Area/8142 GDP/42276.47265625
Area/166 GDP/34117.26171875
Area/6059 GDP/10000.0
Area/2841 GDP/566.4627685546875
Area/3604 GDP/581.4164428710938
Area/165 GDP/18137.19921875
Area/7061 GDP/3.1994073390960693
Area/5632 GDP/33107.0859375
Area/4287 GDP/9923.052734375
Area/8451 GDP/96.37173461914062
Area/771 GDP/368.4393310546875
Area/2938 GDP/0.0
Area/3217 GDP/938.96435546875
Area/6435 GDP/31838.642578125
Area/6312 GDP/34723.53125
Area/3678 GDP/581.1320190429688
Area/4753 GDP/17813.470703125
Area/3046 GDP/569.7079467773438
Area/746 GDP/29.4796085357666
Area/1890 GDP/7511.6005859375
Area/6272 GDP/10002.5830078125
Area/2737 GDP/447.58392333984375
Area/5568 GDP/87.18768310546875
Area/8395 GDP/239.70953369140625
Area/154 GDP/222.59881591796875
Area/2454 GDP/486.68780517578125
Area/4588 GDP/27625.8125
Area/49 GDP/11279.935546875
Area/3703 GDP/9550.8359375
Area/1850 GDP/420.1026306152344
Area/2455 GDP/21042.583984375
Area/4480 GDP/1838.969970703125
Area/7126 GDP/9.528892517089844
Area/7452 GDP/32854.2265625
Area/7693 GDP/2783.65966796875
Area/7723 GDP/18562.6640625
Area/1567 GDP/17207.51953125
Area/1939 GDP/427.5088195800781
Area/4378 GDP/571.8853759765625
Area/5474 GDP/49490.51953125
Area/7708 GDP/930.6908569335938
Area/7473 GDP/128.13836669921875
Area/7617 GDP/3376.00048828125
Area/4181 GDP/572.34814453125
Area/4655 GDP/10000.0
Area/7597 GDP/2199.086181640625
Area/1324 GDP/0.0
Area/1305 GDP/42651.1875
Area/5470 GDP/10000.0
Area/501 GDP/301.4505615234375
Area/5684 GDP/10000.0
Area/1530 GDP/0.0
Area/305 GDP/19710.03125
Area/4112 GDP/573.1273193359375
Area/7882 GDP/313.5443115234375
Area/3831 GDP/556.68994140625
Area/4123 GDP/24972.716796875
Area/1515 GDP/42613.30859375
Area/8335 GDP/7468.63427734375
Area/2662 GDP/4551.42919921875
Area/1139 GDP/2040.374755859375
Area/998 GDP/495.0922546386719
Area/3377 GDP/8684.1845703125
Area/4052 GDP/12707.4384765625
Area/4770 GDP/8965.720703125
Area/1641 GDP/433.32244873046875
Area/1672 GDP/581.4164428710938
Area/5647 GDP/10259.7529296875
Area/4341 GDP/486.68780517578125
Area/6207 GDP/14823.12109375
Area/4414 GDP/1362.049072265625
Area/8453 GDP/97.4048843383789
Area/8296 GDP/44855.9453125
Area/5188 GDP/3904.750244140625
Area/1060 GDP/301.61151123046875
Area/1048 GDP/0.0
Area/6081 GDP/42885.703125
Area/4589 GDP/2851.113525390625
Area/922 GDP/364.2701416015625
Area/3897 GDP/10129.314453125
Area/2965 GDP/17788.65625
Area/6269 GDP/10000.0
Area/6033 GDP/10233.3671875
Area/865 GDP/29524.0
Area/6163 GDP/37465.0390625
Area/88 GDP/332.275634765625
Area/2802 GDP/6849.50341796875
Area/1447 GDP/34768.09375
Area/2472 GDP/867.1282958984375
Area/8153 GDP/10184.83203125
Area/16 GDP/394.1484375
Area/6922 GDP/6.466376304626465
Area/7388 GDP/9.528892517089844
Area/6825 GDP/813.14208984375
Area/6649 GDP/1926.0260009765625
Area/2932 GDP/0.0
Area/1024 GDP/2.7543017864227295
Area/1192 GDP/2281.799560546875
Area/4154 GDP/1762.88671875
Area/3673 GDP/581.4164428710938
Area/5808 GDP/32620.306640625
Area/2815 GDP/12234.49609375
Area/6462 GDP/619.5003662109375
Area/1637 GDP/3285.334716796875
Area/5640 GDP/336.0620422363281
Area/4541 GDP/11161.2841796875
Area/1994 GDP/405.2438659667969
Area/3078 GDP/14847.265625
Area/5766 GDP/10043.005859375
Area/7930 GDP/46829.05078125
Area/3326 GDP/21445.669921875
Area/7692 GDP/5664.4306640625
Area/4439 GDP/10011.396484375
Area/3403 GDP/572.9150390625
Area/7122 GDP/9.528892517089844
Area/7135 GDP/1161.1260986328125
Area/45 GDP/2.7543017864227295
Area/6850 GDP/7616.92333984375
Area/3537 GDP/10233.9375
Area/901 GDP/0.0
Area/2716 GDP/581.3583374023438
Area/7021 GDP/10000.0
Area/3038 GDP/37301.3828125
Area/7903 GDP/6293.3466796875
Area/789 GDP/6046.03759765625
Area/2403 GDP/559.8616333007812
Area/4782 GDP/10000.0
Area/2423 GDP/459.313720703125
Area/5218 GDP/3340.166748046875
Area/7913 GDP/1704.1480712890625
Area/8084 GDP/10184.83203125
Area/460 GDP/35.623634338378906
Area/5427 GDP/10080.0810546875
Area/3491 GDP/59.86111831665039
Area/7577 GDP/29537.07421875
Area/4249 GDP/567.3121337890625
Area/2959 GDP/10000.0
Area/2811 GDP/486.68780517578125
Area/3801 GDP/13092.796875
Area/585 GDP/2.7543017864227295
Area/408 GDP/0.0
Area/1358 GDP/21812.123046875
Area/8317 GDP/104.88955688476562
Area/7852 GDP/21657.166015625
Area/3400 GDP/570.168701171875
Area/2280 GDP/415.046630859375
Area/2239 GDP/0.0
Area/940 GDP/39425.5546875
Area/4444 GDP/10209.880859375
