Area/3147 Light/12.6225004196167
Area/5377 Light/30.42875099182129
Area/7757 Light/5.938750267028809
Area/7186 Light/3.5250000953674316
Area/6204 Light/23.875
Area/7908 Light/2.6624999046325684
Area/7223 Light/14.980000495910645
Area/3798 Light/21.5
Area/7854 Light/17.084999084472656
Area/1494 Light/6.853750228881836
Area/5008 Light/17.599998474121094
Area/701 Light/3.1112499237060547
Area/5956 Light/28.002498626708984
Area/6954 Light/34.125
Area/6861 Light/15.831249237060547
Area/14 Light/1.9287500381469727
Area/1011 Light/36.17375183105469
Area/2958 Light/15.393750190734863
Area/1171 Light/12.042499542236328
Area/3209 Light/16.295001983642578
Area/4600 Light/5.542500019073486
Area/6062 Light/32.03499984741211
Area/7189 Light/8.372499465942383
Area/2165 Light/0
Area/7198 Light/4.098750114440918
Area/4420 Light/6.027500152587891
Area/3021 Light/11.15000057220459
Area/6188 Light/35.88624954223633
Area/184 Light/1.375
Area/5043 Light/22.208751678466797
Area/3916 Light/16.079999923706055
Area/4507 Light/25.342500686645508
Area/6931 Light/9.505000114440918
Area/3840 Light/15.635000228881836
Area/4941 Light/12.579999923706055
Area/4736 Light/28.548748016357422
Area/7779 Light/6.592499732971191
Area/6542 Light/11.6899995803833
Area/4612 Light/8.34000015258789
Area/3854 Light/15.231250762939453
Area/7470 Light/3.4674999713897705
Area/3316 Light/11.096250534057617
Area/3123 Light/5.466250419616699
Area/4096 Light/11.954999923706055
Area/6444 Light/16.068748474121094
Area/4375 Light/29.5987491607666
Area/7073 Light/15.713749885559082
Area/5796 Light/17.592498779296875
Area/243 Light/4.664999961853027
Area/6944 Light/16.479999542236328
Area/1841 Light/22.90999984741211
Area/1798 Light/4.431250095367432
Area/8462 Light/2.2512497901916504
Area/5101 Light/19.008750915527344
Area/6191 Light/29.088748931884766
Area/3689 Light/20.958749771118164
Area/6960 Light/8.457499504089355
Area/4024 Light/9.132499694824219
Area/3683 Light/10.24625015258789
Area/5774 Light/13.550000190734863
Area/1031 Light/10.30625057220459
Area/3930 Light/15.126250267028809
Area/7794 Light/11.16249942779541
Area/1155 Light/27.748750686645508
Area/602 Light/1.877500057220459
Area/2335 Light/8.313749313354492
Area/7510 Light/9.806249618530273
Area/3741 Light/8.678750991821289
Area/7961 Light/12.30875015258789
Area/7537 Light/2.6700000762939453
Area/5373 Light/25.76500129699707
Area/6716 Light/24.487499237060547
Area/4853 Light/30.4375
Area/6643 Light/20.34375
Area/100 Light/2.565000057220459
Area/8127 Light/10.837499618530273
Area/3761 Light/16.130001068115234
Area/2334 Light/9.34375
Area/5391 Light/26.494998931884766
