Area/3147 Pop/2.719632387161255
Area/5377 Pop/670.6350708007812
Area/7757 Pop/237.34988403320312
Area/7186 Pop/313.69940185546875
Area/6204 Pop/2808.868408203125
Area/7908 Pop/173.99075317382812
Area/7223 Pop/1952.3232421875
Area/3798 Pop/10903.0869140625
Area/7854 Pop/1200.9345703125
Area/1494 Pop/1042.3453369140625
Area/5008 Pop/1982.5799560546875
Area/701 Pop/171.0679931640625
Area/5956 Pop/6174.37841796875
Area/6954 Pop/8444.9765625
Area/6861 Pop/1331.5469970703125
Area/14 Pop/163.15414428710938
Area/1011 Pop/16432.6796875
Area/2958 Pop/8672.3427734375
Area/1171 Pop/186.93052673339844
Area/3209 Pop/2227.336669921875
Area/4600 Pop/664.81201171875
Area/6062 Pop/9026.998046875
Area/7189 Pop/960.3761596679688
Area/2165 Pop/7.800633430480957
Area/7198 Pop/411.9018859863281
Area/4420 Pop/783.9707641601562
Area/3021 Pop/4103.66650390625
Area/6188 Pop/61352.1875
Area/184 Pop/44.201026916503906
Area/5043 Pop/4039.843017578125
Area/3916 Pop/5280.8359375
Area/4507 Pop/4406.9033203125
Area/6931 Pop/1217.0838623046875
Area/3840 Pop/1217.07958984375
Area/4941 Pop/4602.166015625
Area/4736 Pop/2007.7281494140625
Area/7779 Pop/1279.5360107421875
Area/6542 Pop/760.316650390625
Area/4612 Pop/603.7085571289062
Area/3854 Pop/7808.07421875
Area/7470 Pop/136.1646270751953
Area/3316 Pop/2627.276611328125
Area/3123 Pop/392.88458251953125
Area/4096 Pop/1221.9256591796875
Area/6444 Pop/2357.041259765625
Area/4375 Pop/1982.8304443359375
Area/7073 Pop/2489.48974609375
Area/5796 Pop/867.9186401367188
Area/243 Pop/734.77099609375
Area/6944 Pop/3296.296142578125
Area/1841 Pop/1377.5189208984375
Area/1798 Pop/362.718505859375
Area/8462 Pop/111.56129455566406
Area/5101 Pop/1396.452392578125
Area/6191 Pop/7988.70751953125
Area/3689 Pop/779.583251953125
Area/6960 Pop/643.7100830078125
Area/4024 Pop/911.68359375
Area/3683 Pop/687.6244506835938
Area/5774 Pop/1290.4498291015625
Area/1031 Pop/452.9386291503906
Area/3930 Pop/2900.066650390625
Area/7794 Pop/2477.777099609375
Area/1155 Pop/5372.146484375
Area/602 Pop/77.23104858398438
Area/2335 Pop/1258.9066162109375
Area/7510 Pop/1492.54345703125
Area/3741 Pop/566.6605834960938
Area/7961 Pop/799.9921875
Area/7537 Pop/80.02883911132812
Area/5373 Pop/941.6723022460938
Area/6716 Pop/177.12513732910156
Area/4853 Pop/2169.203125
Area/6643 Pop/224.35501098632812
Area/100 Pop/66.2655029296875
Area/8127 Pop/843.0665283203125
Area/3761 Pop/489.5046691894531
Area/2334 Pop/1467.7747802734375
Area/5391 Pop/22232.953125
Area/6818 Pop/7753.4912109375
Area/7181 Pop/1109.9207763671875
Area/4864 Pop/3634.08544921875
Area/4650 Pop/17881.216796875
Area/7567 Pop/1884.8427734375
Area/1120 Pop/1835.2183837890625
Area/5617 Pop/5716.7041015625
Area/8284 Pop/1522.1517333984375
Area/2529 Pop/1872.062744140625
Area/6317 Pop/28146.951171875
Area/3153 Pop/1528.622802734375
Area/1198 Pop/768.4732666015625
Area/1570 Pop/557.5175170898438
Area/864 Pop/4610.46923828125
Area/6484 Pop/703.4015502929688
Area/7806 Pop/378.2355041503906
Area/1788 Pop/475.1620178222656
Area/699 Pop/0.0
Area/7695 Pop/523.8935546875
Area/5121 Pop/8648.3125
Area/292 Pop/195.02931213378906
Area/3271 Pop/1072.254150390625
Area/5664 Pop/1776.2008056640625
Area/1967 Pop/667.3801879882812
Area/888 Pop/326.4779968261719
Area/650 Pop/1166.365966796875
Area/2575 Pop/425.5547790527344
Area/4649 Pop/9145.013671875
Area/6946 Pop/1540.85009765625
Area/8420 Pop/815.6860961914062
Area/3940 Pop/3085.0087890625
Area/1330 Pop/1648.8546142578125
Area/6383 Pop/10339.78125
Area/2714 Pop/1007.2520751953125
Area/288 Pop/105.87076568603516
Area/3062 Pop/0.0
Area/2395 Pop/9129.029296875
Area/1106 Pop/925.1417236328125
Area/3675 Pop/751.1416625976562
Area/7493 Pop/413.62420654296875
Area/2135 Pop/400.1731872558594
Area/5440 Pop/974.3095703125
Area/3754 Pop/595.5573120117188
Area/5967 Pop/30612.80078125
Area/1441 Pop/2310.39013671875
Area/399 Pop/568.966796875
Area/654 Pop/3646.334716796875
Area/3696 Pop/0.0
Area/2931 Pop/0.0
Area/7101 Pop/757.4988403320312
Area/7129 Pop/774.9834594726562
Area/2561 Pop/829.490234375
Area/7562 Pop/652.7207641601562
Area/3519 Pop/11411.123046875
Area/5358 Pop/648.0162963867188
Area/6834 Pop/1313.526123046875
Area/230 Pop/179.0554962158203
Area/2940 Pop/835.8199462890625
Area/6911 Pop/598.69482421875
Area/4072 Pop/6132.33251953125
Area/8238 Pop/280.0000305175781
Area/7687 Pop/298.1020202636719
Area/8133 Pop/3576.00927734375
Area/920 Pop/498.2978820800781
Area/7632 Pop/505.7168273925781
Area/2393 Pop/3374.8212890625
Area/5350 Pop/5210.90771484375
Area/5375 Pop/1081.521728515625
Area/5209 Pop/1871.9202880859375
Area/5494 Pop/320.4989013671875
Area/4309 Pop/1145.7230224609375
Area/6458 Pop/89327.7109375
Area/8427 Pop/1310.5211181640625
Area/8291 Pop/524.6233520507812
Area/6231 Pop/1735.2987060546875
Area/5926 Pop/4193.64892578125
Area/3635 Pop/2331.755615234375
Area/7079 Pop/800.9512939453125
Area/6862 Pop/1105.5333251953125
Area/8142 Pop/530.6967163085938
Area/166 Pop/2626.4140625
Area/6059 Pop/8717.0634765625
Area/2841 Pop/230.78335571289062
Area/3604 Pop/1547.5628662109375
Area/165 Pop/2749.111083984375
Area/7061 Pop/246.57191467285156
Area/5632 Pop/768.6301879882812
Area/4287 Pop/1425.435302734375
Area/8451 Pop/237.64370727539062
Area/771 Pop/86.76555633544922
Area/2938 Pop/5.086726188659668
Area/3217 Pop/2.344132661819458
Area/6435 Pop/1825.185546875
Area/6312 Pop/3834.45166015625
Area/3678 Pop/663.7769165039062
Area/4753 Pop/623.6267700195312
Area/3046 Pop/1765.131591796875
Area/746 Pop/88.7331314086914
Area/1890 Pop/14449.9033203125
Area/6272 Pop/1376.2734375
Area/2737 Pop/179.36993408203125
Area/5568 Pop/271.9046325683594
Area/8395 Pop/175.6661376953125
Area/154 Pop/125.25606536865234
Area/2454 Pop/522.9945068359375
Area/4588 Pop/3042.4384765625
Area/49 Pop/306.6177673339844
Area/3703 Pop/3437.308349609375
Area/1850 Pop/226.1764678955078
Area/2455 Pop/1881.777099609375
Area/4480 Pop/2911.138916015625
Area/7126 Pop/591.0236206054688
Area/7452 Pop/1675.5494384765625
Area/7693 Pop/1247.2337646484375
Area/7723 Pop/3406.82373046875
Area/1567 Pop/1949.303466796875
Area/1939 Pop/373.9153747558594
Area/4378 Pop/1526.0784912109375
Area/5474 Pop/3326.92138671875
Area/7708 Pop/784.1060791015625
Area/7473 Pop/536.897705078125
Area/7617 Pop/411.8294372558594
Area/4181 Pop/330.5835876464844
Area/4655 Pop/8319.4736328125
Area/7597 Pop/215.18783569335938
Area/1324 Pop/0.0
Area/1305 Pop/1853.7724609375
Area/5470 Pop/13423.1728515625
Area/501 Pop/255.58224487304688
Area/5684 Pop/5008.6298828125
Area/1530 Pop/130.75704956054688
Area/305 Pop/949.8014526367188
Area/4112 Pop/136.87998962402344
Area/7882 Pop/418.98797607421875
Area/3831 Pop/174.50782775878906
Area/4123 Pop/1434.2977294921875
Area/1515 Pop/745.9639892578125
Area/8335 Pop/554.91015625
Area/2662 Pop/1179.2685546875
Area/1139 Pop/592.092529296875
Area/998 Pop/526.47900390625
Area/3377 Pop/2868.597412109375
Area/4052 Pop/2761.763671875
Area/4770 Pop/3864.096923828125
Area/1641 Pop/346.97113037109375
Area/1672 Pop/84.28823852539062
Area/5647 Pop/2786.3740234375
Area/4341 Pop/2569.436767578125
Area/6207 Pop/1612.21630859375
Area/4414 Pop/2204.617919921875
Area/8453 Pop/133.9720458984375
Area/8296 Pop/1840.5087890625
Area/5188 Pop/13880.8046875
