Area/1172 Carbon/279.45684814453125
Area/4312 Carbon/487.73016357421875
Area/4786 Carbon/0.0
Area/1276 Carbon/678.7054443359375
Area/2329 Carbon/1192.30810546875
Area/2834 Carbon/1102.6351318359375
Area/438 Carbon/1001.49169921875
Area/2064 Carbon/0.0
Area/5120 Carbon/77.58547973632812
Area/4979 Carbon/312.4530944824219
Area/1521 Carbon/474.7693786621094
Area/186 Carbon/538.7764282226562
Area/1902 Carbon/1416.158935546875
Area/1210 Carbon/1255.4783935546875
Area/2712 Carbon/997.6842041015625
Area/1612 Carbon/626.1930541992188
Area/3644 Carbon/780.8201904296875
Area/5028 Carbon/0.0
Area/2180 Carbon/801.7401123046875
Area/1509 Carbon/618.89453125
Area/311 Carbon/131.17391967773438
Area/2992 Carbon/2247.24609375
Area/4506 Carbon/0.0
Area/155 Carbon/153.1416473388672
Area/4500 Carbon/0.0
Area/4917 Carbon/0.0
Area/4542 Carbon/584.8907470703125
Area/4812 Carbon/348.2072448730469
Area/356 Carbon/897.8297729492188
Area/4124 Carbon/393.1885986328125
Area/4173 Carbon/0.0
Area/3072 Carbon/2834.354248046875
Area/4085 Carbon/0.0
Area/3995 Carbon/1153.3177490234375
Area/2936 Carbon/0.0
Area/3926 Carbon/0.0
Area/3945 Carbon/159.4891815185547
Area/671 Carbon/183.41305541992188
Area/1512 Carbon/432.69757080078125
Area/3073 Carbon/2756.13232421875
Area/4132 Carbon/1050.2646484375
Area/1183 Carbon/530.7936401367188
Area/672 Carbon/244.81024169921875
Area/2613 Carbon/336.132080078125
Area/1827 Carbon/536.1367797851562
Area/2284 Carbon/642.4142456054688
Area/1892 Carbon/1784.9481201171875
Area/725 Carbon/434.99505615234375
Area/588 Carbon/280.4264831542969
Area/3768 Carbon/0.0
Area/3920 Carbon/1643.718505859375
Area/1379 Carbon/1306.28271484375
Area/3105 Carbon/0.0
Area/3744 Carbon/1316.1513671875
Area/2736 Carbon/5545.75732421875
Area/417 Carbon/121.32913208007812
Area/4845 Carbon/0.0
Area/241 Carbon/214.6082305908203
Area/336 Carbon/246.77017211914062
Area/1715 Carbon/1679.836669921875
Area/3024 Carbon/698.8814697265625
Area/616 Carbon/629.092041015625
Area/720 Carbon/543.5839233398438
Area/681 Carbon/1085.060546875
Area/1277 Carbon/710.5897827148438
Area/1108 Carbon/660.1978759765625
Area/2105 Carbon/500.71929931640625
Area/2766 Carbon/0.0
Area/117 Carbon/324.61444091796875
Area/4640 Carbon/316.94189453125
Area/3225 Carbon/1261.6717529296875
Area/963 Carbon/890.8690795898438
Area/3913 Carbon/1105.5430908203125
Area/2761 Carbon/626.741943359375
Area/4965 Carbon/460.2275695800781
Area/1173 Carbon/177.80897521972656
Area/3895 Carbon/623.1187133789062
Area/749 Carbon/635.2415161132812
Area/4311 Carbon/477.6141357421875
Area/4822 Carbon/493.37664794921875
Area/522 Carbon/1076.75341796875
Area/4651 Carbon/444.52276611328125
Area/1408 Carbon/295.3348388671875
Area/2291 Carbon/1641.2900390625
Area/1145 Carbon/522.4800415039062
Area/1352 Carbon/490.745361328125
Area/1471 Carbon/0.0
Area/4376 Carbon/477.4293212890625
Area/4020 Carbon/708.2943115234375
Area/4405 Carbon/763.0448608398438
Area/4728 Carbon/346.0407409667969
Area/3894 Carbon/584.1771850585938
Area/2385 Carbon/4121.79931640625
Area/1991 Carbon/866.96044921875
Area/726 Carbon/437.8373718261719
Area/4254 Carbon/0.0
Area/1035 Carbon/823.65380859375
Area/4880 Carbon/505.2151184082031
Area/992 Carbon/172.7880859375
Area/3835 Carbon/1567.17529296875
Area/3879 Carbon/833.8143310546875
Area/299 Carbon/385.65948486328125
Area/1163 Carbon/260.7142333984375
Area/1191 Carbon/648.8357543945312
Area/2108 Carbon/435.08087158203125
Area/4781 Carbon/0.0
Area/337 Carbon/309.8145751953125
Area/2167 Carbon/804.5670166015625
Area/2224 Carbon/4440.13916015625
Area/3112 Carbon/1207.9600830078125
Area/437 Carbon/1096.1966552734375
Area/3166 Carbon/1269.850341796875
Area/4636 Carbon/306.05352783203125
Area/933 Carbon/674.2864990234375
Area/5122 Carbon/74.76844787597656
Area/3946 Carbon/119.11207580566406
Area/1645 Carbon/1029.1644287109375
Area/447 Carbon/580.8323974609375
Area/2320 Carbon/2394.675048828125
Area/2256 Carbon/835.98291015625
Area/4838 Carbon/0.0
Area/3350 Carbon/0.0
Area/1522 Carbon/502.34332275390625
Area/5081 Carbon/0.0
Area/4058 Carbon/360.8330078125
Area/1221 Carbon/818.1737060546875
Area/414 Carbon/204.5382080078125
Area/234 Carbon/129.1400604248047
Area/796 Carbon/910.1450805664062
Area/1018 Carbon/679.3553466796875
Area/1842 Carbon/1075.0374755859375
Area/2274 Carbon/351.9241638183594
Area/2182 Carbon/628.1927490234375
Area/635 Carbon/516.7127685546875
Area/840 Carbon/170.81259155273438
Area/703 Carbon/756.729248046875
Area/1391 Carbon/892.1117553710938
Area/753 Carbon/358.2181396484375
Area/2896 Carbon/4174.80810546875
Area/1959 Carbon/1775.9049072265625
Area/3739 Carbon/1107.3724365234375
Area/5077 Carbon/0.0
Area/325 Carbon/214.88131713867188
Area/3823 Carbon/1102.6351318359375
Area/5148 Carbon/295.9692077636719
Area/4903 Carbon/493.8324279785156
Area/5125 Carbon/970.933349609375
Area/3735 Carbon/966.7866821289062
Area/2049 Carbon/2279.7548828125
Area/3184 Carbon/0.0
Area/3778 Carbon/120.95848083496094
Area/785 Carbon/671.5272827148438
Area/5171 Carbon/0.0
Area/2277 Carbon/350.11328125
Area/1428 Carbon/255.4254150390625
Area/5234 Carbon/317.287353515625
Area/3938 Carbon/733.1796875
Area/297 Carbon/364.96337890625
Area/4005 Carbon/0.0
Area/3434 Carbon/0.0
Area/3174 Carbon/878.7533569335938
Area/670 Carbon/222.76564025878906
Area/3680 Carbon/0.0
Area/1939 Carbon/591.3838500976562
Area/981 Carbon/407.00341796875
Area/75 Carbon/225.17706298828125
Area/1987 Carbon/1265.1123046875
Area/3987 Carbon/960.2537231445312
Area/1742 Carbon/525.8008422851562
Area/853 Carbon/843.3633422851562
Area/4824 Carbon/521733.96875
Area/2387 Carbon/4632.08056640625
Area/1803 Carbon/1713.7374267578125
Area/1013 Carbon/363.61083984375
Area/4531 Carbon/0.0
Area/1054 Carbon/819.3621826171875
Area/3291 Carbon/556.4678344726562
Area/2111 Carbon/456.38018798828125
Area/1946 Carbon/639.2709350585938
Area/2679 Carbon/529.4616088867188
Area/4111 Carbon/134.91009521484375
Area/3360 Carbon/875.91650390625
Area/4351 Carbon/369.05169677734375
Area/4733 Carbon/443.989013671875
Area/473 Carbon/283.66253662109375
Area/2652 Carbon/0.0
Area/244 Carbon/220.16880798339844
Area/2061 Carbon/3534.03076171875
Area/2028 Carbon/542.0578002929688
Area/5256 Carbon/0.0
Area/2048 Carbon/2426.029296875
Area/258 Carbon/453.9417724609375
Area/4850 Carbon/0.0
Area/1472 Carbon/1006.8192138671875
Area/1899 Carbon/1507.5762939453125
Area/1386 Carbon/884.4218139648438
Area/1378 Carbon/1368.9158935546875
Area/4206 Carbon/352.3860168457031
Area/2393 Carbon/5406.92578125
Area/790 Carbon/856.7734375
Area/5022 Carbon/0.0
Area/1482 Carbon/1020.2914428710938
Area/946 Carbon/734.8896484375
Area/4862 Carbon/0.0
Area/5056 Carbon/190.4323272705078
Area/1072 Carbon/194.56048583984375
Area/4063 Carbon/495.5316162109375
Area/3081 Carbon/1408.8331298828125
Area/509 Carbon/706.2489624023438
Area/3787 Carbon/411.5990295410156
Area/2229 Carbon/4725.41162109375
Area/1955 Carbon/1380.8275146484375
Area/1470 Carbon/983.5993041992188
Area/2681 Carbon/320.1008605957031
Area/1464 Carbon/1228.374755859375
Area/3849 Carbon/0.0
Area/3755 Carbon/522746.34375
