Area/1172 GDP/9350.5390625
Area/4312 GDP/13135.6611328125
Area/4786 GDP/5.409524440765381
Area/1276 GDP/732.236328125
Area/2329 GDP/10044.6259765625
Area/2834 GDP/10000.0
Area/438 GDP/47147.12109375
Area/2064 GDP/10000.0
Area/5120 GDP/14.844045639038086
Area/4979 GDP/248.44573974609375
Area/1521 GDP/47787.53125
Area/186 GDP/9326.1962890625
Area/1902 GDP/10604.84375
Area/1210 GDP/10000.0
Area/2712 GDP/21806.25390625
Area/1612 GDP/1243.7166748046875
Area/3644 GDP/31858.107421875
Area/5028 GDP/5.409524440765381
Area/2180 GDP/10906.2587890625
Area/1509 GDP/4620.3466796875
Area/311 GDP/100.64434051513672
Area/2992 GDP/10000.0
Area/4506 GDP/5.409524440765381
Area/155 GDP/5468.15625
Area/4500 GDP/5.409524440765381
Area/4917 GDP/5.409524440765381
Area/4542 GDP/192.3870849609375
Area/4812 GDP/18272.716796875
Area/356 GDP/31551.88671875
Area/4124 GDP/1878.595703125
Area/4173 GDP/5.409524440765381
Area/3072 GDP/10000.0
Area/4085 GDP/1062.155029296875
Area/3995 GDP/27443.66796875
Area/2936 GDP/1057.2371826171875
Area/3926 GDP/5.409524440765381
Area/3945 GDP/10.867356300354004
Area/671 GDP/100.64434051513672
Area/1512 GDP/7686.4443359375
Area/3073 GDP/10000.0
Area/4132 GDP/36963.8671875
Area/1183 GDP/1924.0126953125
Area/672 GDP/220.65023803710938
Area/2613 GDP/108.2203369140625
Area/1827 GDP/24394.7734375
Area/2284 GDP/21868.58984375
Area/1892 GDP/10604.0107421875
Area/725 GDP/100.64434051513672
Area/588 GDP/185.89149475097656
Area/3768 GDP/5.409524440765381
Area/3920 GDP/10268.8369140625
Area/1379 GDP/10000.0
Area/3105 GDP/1057.2371826171875
Area/3744 GDP/10000.0
Area/2736 GDP/10360.412109375
Area/417 GDP/100.64434051513672
Area/4845 GDP/5.409524440765381
Area/241 GDP/100.64434051513672
Area/336 GDP/743.0189819335938
Area/1715 GDP/10000.0
Area/3024 GDP/41910.77734375
Area/616 GDP/9451.248046875
Area/720 GDP/7113.4755859375
Area/681 GDP/22299.259765625
Area/1277 GDP/3259.33251953125
Area/1108 GDP/23181.83984375
Area/2105 GDP/20369.048828125
Area/2766 GDP/1057.2371826171875
Area/117 GDP/31674.0703125
Area/4640 GDP/248.44573974609375
Area/3225 GDP/10000.0
Area/963 GDP/10000.0
Area/3913 GDP/20061.046875
Area/2761 GDP/10973.7412109375
Area/4965 GDP/22867.833984375
Area/1173 GDP/3602.974853515625
Area/3895 GDP/16702.109375
Area/749 GDP/10000.0
Area/4311 GDP/4481.701171875
Area/4822 GDP/22807.123046875
Area/522 GDP/45415.45703125
Area/4651 GDP/5281.16748046875
Area/1408 GDP/100.25313568115234
Area/2291 GDP/45308.0625
Area/1145 GDP/3107.4345703125
Area/1352 GDP/41723.82421875
Area/1471 GDP/10473.3603515625
Area/4376 GDP/248.44573974609375
Area/4020 GDP/9.945152282714844
Area/4405 GDP/10000.0
Area/4728 GDP/16665.72265625
Area/3894 GDP/16702.109375
Area/2385 GDP/10000.0
Area/1991 GDP/1544.1505126953125
Area/726 GDP/100.64434051513672
Area/4254 GDP/5.409524440765381
Area/1035 GDP/43699.16015625
Area/4880 GDP/2805.55224609375
Area/992 GDP/7152.08154296875
Area/3835 GDP/10451.046875
Area/3879 GDP/43201.97265625
Area/299 GDP/9012.470703125
Area/1163 GDP/100.64434051513672
Area/1191 GDP/680.6873779296875
Area/2108 GDP/33651.4140625
Area/4781 GDP/5.409524440765381
Area/337 GDP/3027.116455078125
Area/2167 GDP/44408.69140625
Area/2224 GDP/10000.0
Area/3112 GDP/10001.728515625
Area/437 GDP/10000.0
Area/3166 GDP/10327.205078125
Area/4636 GDP/1396.9605712890625
Area/933 GDP/3435.377685546875
Area/5122 GDP/14.844989776611328
Area/3946 GDP/2724.915283203125
Area/1645 GDP/10721.736328125
Area/447 GDP/18577.33984375
Area/2320 GDP/10000.0
Area/2256 GDP/10456.60546875
Area/4838 GDP/5.409524440765381
Area/3350 GDP/1057.2371826171875
Area/1522 GDP/47787.53125
Area/5081 GDP/5.409524440765381
Area/4058 GDP/4254.35400390625
Area/1221 GDP/8304.3125
Area/414 GDP/5038.73095703125
Area/234 GDP/1240.802001953125
Area/796 GDP/10000.0
Area/1018 GDP/586.1780395507812
Area/1842 GDP/11020.68359375
Area/2274 GDP/108.2203369140625
Area/2182 GDP/1518.4415283203125
Area/635 GDP/5445.20654296875
Area/840 GDP/589.8790893554688
Area/703 GDP/21941.31640625
Area/1391 GDP/1450.140625
Area/753 GDP/10011.0205078125
Area/2896 GDP/10000.0
Area/1959 GDP/10000.0
Area/3739 GDP/10000.0
Area/5077 GDP/485.75189208984375
Area/325 GDP/14329.2822265625
Area/3823 GDP/10000.0
Area/5148 GDP/3848.358154296875
Area/4903 GDP/4351.91796875
Area/5125 GDP/12677.91015625
Area/3735 GDP/10000.0
Area/2049 GDP/10000.0
Area/3184 GDP/1057.2371826171875
Area/3778 GDP/5.409524440765381
Area/785 GDP/22059.361328125
Area/5171 GDP/5.409524440765381
Area/2277 GDP/782.7723999023438
Area/1428 GDP/115.8156967163086
Area/5234 GDP/13640.6318359375
Area/3938 GDP/12.517260551452637
Area/297 GDP/5723.3955078125
Area/4005 GDP/10834.1455078125
Area/3434 GDP/1057.2371826171875
Area/3174 GDP/10441.1640625
Area/670 GDP/10432.2275390625
Area/3680 GDP/5.409524440765381
Area/1939 GDP/14073.3642578125
Area/981 GDP/15437.2275390625
Area/75 GDP/7000.060546875
Area/1987 GDP/10572.4169921875
Area/3987 GDP/10000.0
Area/1742 GDP/8847.7001953125
Area/853 GDP/23484.521484375
Area/4824 GDP/10000.0
Area/2387 GDP/10000.0
Area/1803 GDP/10000.0
Area/1013 GDP/11731.736328125
Area/4531 GDP/5.409524440765381
Area/1054 GDP/25354.68359375
Area/3291 GDP/8274.1552734375
Area/2111 GDP/3029.668701171875
Area/1946 GDP/108.2203369140625
Area/2679 GDP/32400.1171875
Area/4111 GDP/7.383423805236816
Area/3360 GDP/5125.43017578125
Area/4351 GDP/14.80697250366211
Area/4733 GDP/4267.42724609375
Area/473 GDP/13436.8037109375
Area/2652 GDP/10000.0
Area/244 GDP/597.6361694335938
Area/2061 GDP/10000.0
Area/2028 GDP/113.36223602294922
Area/5256 GDP/5.409524440765381
Area/2048 GDP/10000.0
Area/258 GDP/6043.1220703125
Area/4850 GDP/5.409524440765381
Area/1472 GDP/24200.896484375
Area/1899 GDP/10003.7060546875
Area/1386 GDP/10000.0
Area/1378 GDP/10000.0
Area/4206 GDP/43.73857116699219
Area/2393 GDP/10000.0
Area/790 GDP/10045.88671875
Area/5022 GDP/5.409524440765381
Area/1482 GDP/45525.6953125
Area/946 GDP/10956.3388671875
Area/4862 GDP/5.409524440765381
Area/5056 GDP/167.85589599609375
Area/1072 GDP/18407.484375
Area/4063 GDP/6911.24755859375
Area/3081 GDP/10000.0
Area/509 GDP/11181.7626953125
Area/3787 GDP/13400.7919921875
Area/2229 GDP/15086.4404296875
Area/1955 GDP/43429.99609375
Area/1470 GDP/10000.0
