Area/1172 Light/15.872499465942383
Area/4312 Light/32.36000061035156
Area/4786 Light/1.1924999952316284
Area/1276 Light/33.032501220703125
Area/2329 Light/44.712501525878906
Area/2834 Light/42.24500274658203
Area/438 Light/35.05500030517578
Area/2064 Light/44.80000305175781
Area/5120 Light/2.0950000286102295
Area/4979 Light/5.824999809265137
Area/1521 Light/11.825000762939453
Area/186 Light/24.650001525878906
Area/1902 Light/51.39249801635742
Area/1210 Light/26.209999084472656
Area/2712 Light/38.125
Area/1612 Light/11.337499618530273
Area/3644 Light/22.934999465942383
Area/5028 Light/0.8300000429153442
Area/2180 Light/26.505001068115234
Area/1509 Light/30.58749771118164
Area/311 Light/8.977499961853027
Area/2992 Light/49.022499084472656
Area/4506 Light/1.7425000667572021
Area/155 Light/7.707499980926514
Area/4500 Light/3.077500104904175
Area/4917 Light/1.6424999237060547
Area/4542 Light/5.960000038146973
Area/4812 Light/7.230000019073486
Area/356 Light/32.63749694824219
Area/4124 Light/21.399999618530273
Area/4173 Light/3.8125
Area/3072 Light/39.682498931884766
Area/4085 Light/6.152500152587891
Area/3995 Light/45.375
Area/2936 Light/2.5
Area/3926 Light/6.057499885559082
Area/3945 Light/4.465000152587891
Area/671 Light/11.795000076293945
Area/1512 Light/15.692500114440918
Area/3073 Light/37.37750244140625
Area/4132 Light/40.12249755859375
Area/1183 Light/14.460000038146973
Area/672 Light/2.494999885559082
Area/2613 Light/15.47249984741211
Area/1827 Light/20.545000076293945
Area/2284 Light/14.670000076293945
Area/1892 Light/43.32749938964844
Area/725 Light/17.739999771118164
Area/588 Light/2.932500123977661
Area/3768 Light/4.902500152587891
Area/3920 Light/86.80249786376953
Area/1379 Light/25.560001373291016
Area/3105 Light/1.8875000476837158
Area/3744 Light/61.994998931884766
Area/2736 Light/37.36000061035156
Area/417 Light/5.827499866485596
Area/4845 Light/1.2649999856948853
Area/241 Light/5.680000305175781
Area/336 Light/2.495000123977661
Area/1715 Light/30.832500457763672
Area/3024 Light/12.457499504089355
Area/616 Light/23.104999542236328
Area/720 Light/17.189998626708984
Area/681 Light/22.262500762939453
Area/1277 Light/44.93250274658203
Area/1108 Light/34.314998626708984
Area/2105 Light/36.744998931884766
Area/2766 Light/15.385000228881836
Area/117 Light/16.095001220703125
Area/4640 Light/10.467499732971191
Area/3225 Light/20.619998931884766
Area/963 Light/22.10249900817871
Area/3913 Light/18.34000015258789
Area/2761 Light/31.600000381469727
Area/4965 Light/32.667503356933594
Area/1173 Light/14.979999542236328
Area/3895 Light/22.469999313354492
Area/749 Light/34.66999816894531
Area/4311 Light/11.680000305175781
