Area/1172 Pop/3465.9052734375
Area/4312 Pop/6934.4755859375
Area/4786 Pop/-99999.0
Area/1276 Pop/3798.77783203125
Area/2329 Pop/5163.1748046875
Area/2834 Pop/8417.314453125
Area/438 Pop/9436.587890625
Area/2064 Pop/25596.63671875
Area/5120 Pop/300.5577087402344
Area/4979 Pop/1116.3997802734375
Area/1521 Pop/576.4437255859375
Area/186 Pop/6562.32177734375
Area/1902 Pop/11696.720703125
Area/1210 Pop/14538.44921875
Area/2712 Pop/4530.12109375
Area/1612 Pop/1892.31494140625
Area/3644 Pop/4402.583984375
Area/5028 Pop/-99999.0
Area/2180 Pop/3885.544677734375
Area/1509 Pop/1511.6685791015625
Area/311 Pop/936.7012329101562
Area/2992 Pop/26382.82421875
Area/4506 Pop/-99999.0
Area/155 Pop/489.48797607421875
Area/4500 Pop/-99999.0
Area/4917 Pop/-99999.0
Area/4542 Pop/693.855224609375
Area/4812 Pop/718.91943359375
Area/356 Pop/5636.5009765625
Area/4124 Pop/1082.3760986328125
Area/4173 Pop/-99999.0
Area/3072 Pop/28311.2578125
Area/4085 Pop/-99999.0
Area/3995 Pop/20351.720703125
Area/2936 Pop/-99999.0
Area/3926 Pop/-99999.0
Area/3945 Pop/398.7929992675781
Area/671 Pop/2383.6240234375
Area/1512 Pop/7465.45703125
Area/3073 Pop/27451.681640625
Area/4132 Pop/4298.666015625
Area/1183 Pop/1570.7689208984375
Area/672 Pop/239.0535125732422
Area/2613 Pop/909.8204956054688
Area/1827 Pop/5866.080078125
Area/2284 Pop/2669.281494140625
Area/1892 Pop/33222.671875
Area/725 Pop/1329.7799072265625
Area/588 Pop/244.2310333251953
Area/3768 Pop/-99999.0
Area/3920 Pop/3832.667236328125
Area/1379 Pop/12193.865234375
Area/3105 Pop/-99999.0
Area/3744 Pop/7695.5654296875
Area/2736 Pop/26319.970703125
Area/417 Pop/1819.4537353515625
Area/4845 Pop/6.39241886138916
Area/241 Pop/849.5234985351562
Area/336 Pop/310.8072509765625
Area/1715 Pop/27458.9453125
Area/3024 Pop/3325.4609375
Area/616 Pop/1109.447265625
Area/720 Pop/1871.9671630859375
Area/681 Pop/1034.4971923828125
Area/1277 Pop/4225.57568359375
Area/1108 Pop/1790.6240234375
Area/2105 Pop/1282.2125244140625
Area/2766 Pop/16.882307052612305
Area/117 Pop/9346.5810546875
Area/4640 Pop/1981.74658203125
Area/3225 Pop/9675.390625
Area/963 Pop/3100.9775390625
Area/3913 Pop/1006.2962036132812
Area/2761 Pop/3092.85009765625
Area/4965 Pop/986.77099609375
Area/1173 Pop/1887.5806884765625
Area/3895 Pop/5393.33203125
Area/749 Pop/10302.9765625
Area/4311 Pop/2695.29052734375
Area/4822 Pop/2983.2412109375
Area/522 Pop/7513.021484375
Area/4651 Pop/1181.504150390625
Area/1408 Pop/1471.7442626953125
Area/2291 Pop/8114.4482421875
Area/1145 Pop/1297.73974609375
Area/1352 Pop/1594.5928955078125
Area/1471 Pop/4809.2041015625
Area/4376 Pop/557.865234375
Area/4020 Pop/1339.0047607421875
Area/4405 Pop/7167.38671875
Area/4728 Pop/8597.1748046875
Area/3894 Pop/2364.61474609375
Area/2385 Pop/27116.6328125
Area/1991 Pop/2515.923583984375
Area/726 Pop/639.6993408203125
Area/4254 Pop/-99999.0
Area/1035 Pop/5275.529296875
Area/4880 Pop/1108.329833984375
Area/992 Pop/771.5006713867188
Area/3835 Pop/2559.598876953125
Area/3879 Pop/6261.97216796875
Area/299 Pop/1948.437744140625
Area/1163 Pop/1159.009521484375
Area/1191 Pop/2418.882568359375
Area/2108 Pop/1239.6513671875
Area/4781 Pop/-99999.0
Area/337 Pop/453.560546875
Area/2167 Pop/8502.8623046875
Area/2224 Pop/31881.509765625
Area/3112 Pop/7148.41552734375
Area/437 Pop/6143.63671875
Area/3166 Pop/4409.4794921875
Area/4636 Pop/931.5734252929688
Area/933 Pop/764.7988891601562
Area/5122 Pop/519.9832153320312
Area/3946 Pop/30.868032455444336
Area/1645 Pop/9460.7236328125
Area/447 Pop/1065.9896240234375
Area/2320 Pop/26578.595703125
Area/2256 Pop/12111.9326171875
Area/4838 Pop/-99999.0
Area/3350 Pop/-99999.0
Area/1522 Pop/2058.129638671875
Area/5081 Pop/-99999.0
Area/4058 Pop/638.7665405273438
Area/1221 Pop/2253.16455078125
Area/414 Pop/1870.0989990234375
Area/234 Pop/600.6058959960938
Area/796 Pop/2237.668212890625
Area/1018 Pop/2752.5341796875
Area/1842 Pop/4978.90576171875
Area/2274 Pop/883.1242065429688
Area/2182 Pop/1317.9093017578125
Area/635 Pop/894.7046508789062
Area/840 Pop/539.4542846679688
Area/703 Pop/1477.7972412109375
Area/1391 Pop/5137.0166015625
Area/753 Pop/7601.7080078125
Area/2896 Pop/19368.447265625
Area/1959 Pop/1512.8123779296875
Area/3739 Pop/6419.35693359375
Area/5077 Pop/-99999.0
Area/325 Pop/1538.9422607421875
Area/3823 Pop/6294.82958984375
Area/5148 Pop/2343.927490234375
Area/4903 Pop/1242.369873046875
Area/5125 Pop/261.2565002441406
Area/3735 Pop/11869.05078125
Area/2049 Pop/4462.10498046875
Area/3184 Pop/-99999.0
Area/3778 Pop/265.26348876953125
Area/785 Pop/1902.0665283203125
Area/5171 Pop/24.90312957763672
Area/2277 Pop/808.7398681640625
Area/1428 Pop/1920.46923828125
Area/5234 Pop/611.8213500976562
Area/3938 Pop/1546.3642578125
Area/297 Pop/1779.761474609375
Area/4005 Pop/31.290023803710938
Area/3434 Pop/-99999.0
Area/3174 Pop/3394.8515625
Area/670 Pop/5005.40673828125
Area/3680 Pop/-99999.0
Area/1939 Pop/1722.0638427734375
Area/981 Pop/3843.71044921875
Area/75 Pop/1240.7320556640625
Area/1987 Pop/17398.466796875
Area/3987 Pop/13096.205078125
Area/1742 Pop/5139.3671875
Area/853 Pop/3318.596435546875
Area/4824 Pop/5125.74951171875
Area/2387 Pop/25434.9609375
Area/1803 Pop/39582.93359375
Area/1013 Pop/1262.6680908203125
Area/4531 Pop/-99999.0
Area/1054 Pop/1977.9984130859375
Area/3291 Pop/3539.190673828125
Area/2111 Pop/1933.477783203125
Area/1946 Pop/3562.256591796875
Area/2679 Pop/3767.106201171875
Area/4111 Pop/83.5008544921875
Area/3360 Pop/514.3538818359375
Area/4351 Pop/812.417236328125
Area/4733 Pop/940.8291625976562
Area/473 Pop/1088.3798828125
Area/2652 Pop/14469.8876953125
Area/244 Pop/568.4085083007812
Area/2061 Pop/26380.091796875
Area/2028 Pop/1480.116943359375
Area/5256 Pop/-99999.0
Area/2048 Pop/3677.5302734375
Area/258 Pop/889.1181640625
Area/4850 Pop/121.43861389160156
Area/1472 Pop/8403.09375
Area/1899 Pop/7665.05322265625
Area/1386 Pop/14272.0849609375
Area/1378 Pop/13946.43359375
Area/4206 Pop/459.7727966308594
Area/2393 Pop/7649.65283203125
Area/790 Pop/5413.96875
Area/5022 Pop/-99999.0
Area/1482 Pop/3964.81787109375
Area/946 Pop/1154.8243408203125
Area/4862 Pop/-99999.0
Area/5056 Pop/1120.8681640625
Area/1072 Pop/1627.3367919921875
Area/4063 Pop/4102.4091796875
Area/3081 Pop/6470.63134765625
Area/509 Pop/587.256103515625
Area/3787 Pop/2642.265625
Area/2229 Pop/35605.21875
Area/1955 Pop/3663.876953125
Area/1470 Pop/15719.8828125
Area/2681 Pop/465.51220703125
Area/1464 Pop/16828.794921875
Area/3849 Pop/-99999.0
Area/3755 Pop/6093.865234375
Area/4604 Pop/-99999.0
Area/2991 Pop/47769.58203125
Area/3941 Pop/944.8662719726562
Area/3820 Pop/15080.7666015625
Area/1406 Pop/2036.266845703125
Area/3212 Pop/2455.698486328125
Area/3573 Pop/28142.978515625
Area/1739 Pop/7937.11279296875
Area/2846 Pop/2236.129150390625
Area/3795 Pop/4538.64990234375
Area/5204 Pop/605.9523315429688
Area/3277 Pop/1817.8125
Area/2909 Pop/20940.810546875
Area/9 Pop/2308.72802734375
Area/5020 Pop/-99999.0
Area/3267 Pop/-99999.0
Area/2179 Pop/3425.11376953125
Area/4840 Pop/1.7448760271072388
Area/3193 Pop/3385.565673828125
Area/157 Pop/585.1468505859375
Area/554 Pop/1235.5076904296875
Area/1486 Pop/2471.208984375
Area/1204 Pop/3394.173583984375
Area/4732 Pop/975.85986328125
Area/33 Pop/4944.1484375
Area/248 Pop/2006.2196044921875
Area/821 Pop/874.873046875
Area/2187 Pop/742.8571166992188
Area/3698 Pop/605.6832275390625
Area/3069 Pop/28295.080078125
Area/2071 Pop/18248.66015625
Area/3318 Pop/23150.3046875
Area/4061 Pop/1724.0858154296875
Area/457 Pop/12681.720703125
Area/799 Pop/6166.95654296875
Area/3156 Pop/28977.138671875
Area/779 Pop/8926.02734375
