Area/12754 Pop/34.86270523071289
Area/12133 Pop/78.68192291259766
Area/8609 Pop/3818.205078125
Area/4701 Pop/407.4856262207031
Area/5382 Pop/59.47628402709961
Area/13434 Pop/32.10078811645508
Area/10093 Pop/835.3782348632812
Area/9001 Pop/783.257568359375
Area/14804 Pop/39.19278335571289
Area/3789 Pop/5540.8984375
Area/5367 Pop/75.39136505126953
Area/16789 Pop/46.699432373046875
Area/14552 Pop/37.31989288330078
Area/5652 Pop/1866.781005859375
Area/8588 Pop/398.0936584472656
Area/7085 Pop/4025.537841796875
Area/16562 Pop/32.07841873168945
Area/157 Pop/0.0
Area/2701 Pop/0.0
Area/5551 Pop/3097.4833984375
Area/5785 Pop/50.20265197753906
Area/12713 Pop/66.78548431396484
Area/12237 Pop/57.04842758178711
Area/16440 Pop/21.50621223449707
Area/13393 Pop/67.4704818725586
Area/4942 Pop/1438.501220703125
Area/13124 Pop/85.0440673828125
Area/7019 Pop/195.80958557128906
Area/5422 Pop/204.2501220703125
Area/14788 Pop/41.2681999206543
Area/4044 Pop/605.1536254882812
Area/1225 Pop/0.0
Area/16024 Pop/59.4063606262207
Area/16849 Pop/6.015336036682129
Area/15968 Pop/354.06109619140625
Area/3516 Pop/1159.22509765625
Area/16796 Pop/34.613685607910156
Area/7545 Pop/677.3403930664062
Area/12629 Pop/28.16042137145996
Area/7310 Pop/3762.31640625
Area/1666 Pop/0.0
Area/8661 Pop/812.5714721679688
Area/13540 Pop/61.74065399169922
Area/5630 Pop/446.4596862792969
Area/2410 Pop/238.84588623046875
Area/6388 Pop/4012.518798828125
Area/433 Pop/6221.8427734375
Area/8616 Pop/658.9674072265625
Area/13893 Pop/58.97728729248047
Area/4479 Pop/12061.65234375
Area/1498 Pop/67425.234375
Area/2492 Pop/65.69811248779297
Area/12249 Pop/373.5273132324219
Area/15080 Pop/32.40116500854492
Area/9140 Pop/226.25640869140625
Area/7886 Pop/1344.2783203125
Area/17197 Pop/23.611173629760742
Area/10663 Pop/72.5336685180664
Area/1637 Pop/0.0
Area/14289 Pop/633.890869140625
Area/10953 Pop/46.85116958618164
Area/12306 Pop/74.13452911376953
Area/9084 Pop/392.75286865234375
Area/7244 Pop/2486.0
Area/15892 Pop/28.816755294799805
Area/16338 Pop/9.827425003051758
Area/16467 Pop/24.444265365600586
Area/11862 Pop/247.89695739746094
Area/3867 Pop/8215.7705078125
Area/9661 Pop/51.10588073730469
Area/908 Pop/0.0
Area/9613 Pop/792.730712890625
Area/13520 Pop/79.60895538330078
Area/14480 Pop/62.81927490234375
Area/15825 Pop/19.77274513244629
Area/8663 Pop/675.2357788085938
Area/11638 Pop/30.664684295654297
Area/8111 Pop/147.14979553222656
Area/14585 Pop/46.843265533447266
Area/15552 Pop/100.12482452392578
Area/12162 Pop/80.18333435058594
Area/947 Pop/0.0
Area/16776 Pop/26.345582962036133
Area/11339 Pop/60.941314697265625
Area/4675 Pop/60.41567611694336
Area/8834 Pop/1725.9339599609375
Area/1022 Pop/0.0
Area/1857 Pop/743.7333374023438
Area/8289 Pop/671.9035034179688
Area/12179 Pop/143.5350341796875
Area/13146 Pop/14.670549392700195
Area/9125 Pop/825.7509765625
Area/3159 Pop/5148.84765625
Area/7443 Pop/487.70849609375
Area/12718 Pop/944.3541870117188
Area/7371 Pop/1050.0155029296875
Area/87 Pop/0.0
Area/10450 Pop/81.32545471191406
Area/16748 Pop/7.3449249267578125
Area/3475 Pop/2898.658203125
Area/14781 Pop/178.4053955078125
Area/406 Pop/35.8969841003418
Area/1876 Pop/0.0
Area/6391 Pop/5939.466796875
Area/15362 Pop/91.34927368164062
Area/14521 Pop/1330.34423828125
Area/14916 Pop/27.52777099609375
Area/585 Pop/0.0
Area/4712 Pop/1146.42724609375
Area/16990 Pop/22.65190887451172
Area/13349 Pop/30.842241287231445
Area/16129 Pop/15.495455741882324
Area/1461 Pop/0.0
Area/1514 Pop/5793.361328125
Area/4552 Pop/2649.212158203125
Area/15376 Pop/9.476391792297363
Area/1370 Pop/22292.923828125
Area/13814 Pop/53.45888900756836
Area/7581 Pop/307.85333251953125
Area/16300 Pop/46.28142166137695
Area/8635 Pop/202.73484802246094
Area/2327 Pop/5426.1171875
Area/6050 Pop/2760.849853515625
Area/7564 Pop/1481.529296875
Area/14699 Pop/89.63961029052734
Area/6567 Pop/2511.950439453125
Area/215 Pop/0.0
Area/12997 Pop/209.68289184570312
Area/15981 Pop/41.22667694091797
Area/10331 Pop/100.30220031738281
Area/13554 Pop/27.165950775146484
Area/7708 Pop/962.8499145507812
Area/10750 Pop/66.64112854003906
Area/12875 Pop/112.8465805053711
Area/334 Pop/0.0
Area/945 Pop/0.0
Area/1196 Pop/0.0
Area/8490 Pop/191.19345092773438
Area/16487 Pop/103.42655181884766
Area/5211 Pop/1114.848876953125
Area/687 Pop/0.0
Area/3915 Pop/3143.721435546875
Area/12186 Pop/145.2764129638672
Area/16766 Pop/167.13116455078125
Area/15427 Pop/28.449535369873047
Area/16096 Pop/11.371188163757324
Area/3662 Pop/5040.9814453125
Area/2645 Pop/3933.541015625
Area/3692 Pop/670.9176025390625
Area/7181 Pop/10840.87109375
Area/15535 Pop/59.97206115722656
Area/13650 Pop/386.10443115234375
Area/9775 Pop/46.284263610839844
Area/16506 Pop/32.59807586669922
Area/10198 Pop/742.4489135742188
Area/7511 Pop/156.54232788085938
Area/5703 Pop/890.102783203125
Area/12576 Pop/83.15361785888672
Area/11940 Pop/214.00955200195312
Area/10299 Pop/2193.200927734375
Area/16433 Pop/12.1793794631958
Area/16389 Pop/472.0740661621094
Area/8237 Pop/1165.1513671875
Area/15246 Pop/84.61146545410156
Area/385 Pop/0.0
Area/15449 Pop/99.36006164550781
Area/13362 Pop/14.720231056213379
Area/12118 Pop/91.71723175048828
Area/7535 Pop/1113.482421875
Area/11908 Pop/174.1086883544922
Area/4652 Pop/401.235595703125
Area/15995 Pop/4.8164873123168945
Area/3291 Pop/5541.3779296875
Area/10042 Pop/173.6126251220703
Area/6497 Pop/1302.8148193359375
Area/15002 Pop/35.131649017333984
Area/1763 Pop/0.0
Area/16218 Pop/18.72447967529297
Area/10191 Pop/18.659334182739258
Area/1321 Pop/0.0
Area/605 Pop/0.0
Area/6646 Pop/554.9807739257812
Area/12167 Pop/145.1011199951172
Area/521 Pop/0.0
Area/10035 Pop/490.73016357421875
Area/7972 Pop/213.37962341308594
Area/16902 Pop/59.10539627075195
Area/6055 Pop/4704.533203125
Area/2366 Pop/1700.6927490234375
Area/4623 Pop/5667.10693359375
Area/11179 Pop/42.179935455322266
Area/9887 Pop/1171.2869873046875
Area/11390 Pop/148.37081909179688
Area/6767 Pop/6734.22607421875
Area/15985 Pop/33.911685943603516
Area/14992 Pop/139.7851104736328
Area/15249 Pop/338.08740234375
Area/13097 Pop/145.2302703857422
Area/14051 Pop/25.242469787597656
Area/11002 Pop/46.39474105834961
Area/2050 Pop/529.3799438476562
Area/6830 Pop/1351.0484619140625
Area/582 Pop/0.0
Area/726 Pop/25.570226669311523
Area/12847 Pop/33.310604095458984
Area/13214 Pop/145.93017578125
Area/358 Pop/0.0
Area/9010 Pop/5178.5478515625
Area/6782 Pop/8197.283203125
Area/5653 Pop/3212.279541015625
Area/12345 Pop/101.49260711669922
Area/6518 Pop/900.508544921875
Area/13490 Pop/1300.8797607421875
Area/4746 Pop/1629.2557373046875
Area/16424 Pop/3.629425048828125
Area/16846 Pop/0.0
Area/6397 Pop/4411.35302734375
Area/2033 Pop/1040.9573974609375
Area/15586 Pop/9.498822212219238
Area/16843 Pop/0.24064838886260986
Area/2106 Pop/2777.8056640625
Area/10629 Pop/33.77366638183594
Area/4628 Pop/4784.25
Area/9959 Pop/38.75619888305664
Area/11221 Pop/59.546897888183594
Area/8717 Pop/1064.152099609375
Area/6817 Pop/276.1579895019531
Area/15028 Pop/65.2182388305664
Area/12451 Pop/103.37389373779297
Area/410 Pop/0.0
Area/1830 Pop/4131.9736328125
Area/2124 Pop/11836.9541015625
Area/13820 Pop/79.1834487915039
Area/6912 Pop/299.67095947265625
Area/4090 Pop/3345.805419921875
Area/11978 Pop/259.2378234863281
Area/3554 Pop/9225.0703125
Area/9363 Pop/356.726806640625
Area/12516 Pop/74.78498840332031
Area/15295 Pop/29.925474166870117
Area/14950 Pop/75.4146728515625
Area/16267 Pop/61.86017608642578
Area/12741 Pop/115.35888671875
Area/15537 Pop/57.94204330444336
Area/2650 Pop/705.4390258789062
Area/432 Pop/6299.8603515625
Area/329 Pop/5885.880859375
Area/13350 Pop/33.233280181884766
Area/319 Pop/0.0
Area/6349 Pop/421.4055480957031
Area/5168 Pop/1113.5765380859375
Area/249 Pop/0.0
Area/3863 Pop/2087.840087890625
Area/14514 Pop/160.33255004882812
Area/2677 Pop/552.9121704101562
Area/5216 Pop/1849.6334228515625
Area/4901 Pop/1002.4346313476562
Area/484 Pop/0.0
Area/8675 Pop/1040.0958251953125
Area/14572 Pop/46.4721794128418
Area/3040 Pop/3640.888916015625
Area/16718 Pop/16.415529251098633
Area/14677 Pop/122.95712280273438
Area/2827 Pop/3758.43505859375
Area/13971 Pop/34.02567672729492
Area/14817 Pop/119.68873596191406
Area/6700 Pop/269.77545166015625
Area/7717 Pop/1854.038330078125
Area/4235 Pop/1236.822021484375
Area/15267 Pop/28.02710723876953
Area/9088 Pop/693.9727783203125
Area/4419 Pop/1133.3817138671875
Area/15704 Pop/41.8962516784668
Area/12695 Pop/173.27394104003906
Area/11423 Pop/78.5177993774414
Area/5392 Pop/425.7663879394531
Area/2338 Pop/3304.173095703125
Area/4833 Pop/10218.212890625
Area/11439 Pop/12.005125045776367
Area/5480 Pop/111.97660827636719
Area/11038 Pop/106.0397720336914
Area/8038 Pop/2004.6793212890625
Area/4878 Pop/179.23193359375
Area/4150 Pop/178.44857788085938
Area/15793 Pop/14.115227699279785
Area/14010 Pop/140.82290649414062
Area/553 Pop/0.0
Area/7362 Pop/1117.3076171875
Area/7544 Pop/551.3082275390625
Area/11256 Pop/155.749267578125
Area/10528 Pop/12.339645385742188
Area/9090 Pop/418.7330017089844
Area/16742 Pop/0.0
Area/10554 Pop/71.3735580444336
Area/13493 Pop/371.7141418457031
Area/5580 Pop/643.0297241210938
Area/8870 Pop/1166.3653564453125
Area/3851 Pop/4818.32080078125
Area/8914 Pop/424.030517578125
Area/5090 Pop/72.44157409667969
Area/2842 Pop/17261.123046875
Area/12009 Pop/316.3005065917969
Area/13908 Pop/610.0313720703125
